Status,PartNumber,SIM,ZipCode,Plan,with ILD?,CardType,CellTech
New,PHSMGS128PSIMT5ND,GS128PSIMT5ND,33178,$25,No,Discover,GSM
New,PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,$35,No,Visa,GSM
New,PHSMGS128PSIMT5ND,GS128PSIMT5ND,33178,$45,No,Visa,GSM
New,PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,$55,No,Visa,GSM
New,PHSMGS128PSIMT5ND,GS128PSIMT5ND,33178,$25,Yes,American Express,GSM
New,PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,$35,Yes,Visa,GSM
New,PHSMGS128PSIMT5ND,GS128PSIMT5ND,33178,$45,Yes,Visa,GSM
New,PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,$55,Yes,Visa,GSM
Past Due,PHSMGS128PSIMT5ND,GS128PSIMT5ND,33178,$25,No,MasterCard,GSM
Past Due,PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,$25,Yes,MasterCard,GSM
