PartNumber,ZipCode,SIM,PIN1,CellTech,Quantity,CardType
PHGS128PSIMT5ND,33178,GS128PSIMT5ND,GSAPPU0025,GSM,1,Discover
PHGS128PSIMT5ND,33178,GS128PSIMT5ND,GSAPPU0035,GSM,2,Visa
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0035,GSM,3,Visa
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0045,GSM,4,Visa
PHGS128PSIMT5ND,33178,GS128PSIMT5ND,GSAPPU0045,GSM,5,American Express
PHGS128PSIMT5ND,33178,GS128PSIMT5ND,GSAPPU0055,GSM,6,Visa
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0055,GSM,7,Visa
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0065ILD,GSM,8,Visa
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0045,GSM,9,MasterCard
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,GSAPPU0035,GSM,1,MasterCard
