PartNumber,ZipCode,SIM,Plan1,with ILD1?,CardType,CellTech,Plan2,with ILD2?,Add Now?
PHGS128PSIMT5ND,33178,GS128PSIMT5ND,$25,No,Discover,GSM,$25,Yes,Add Now
PHGS128PSIMT5ND,33178,GS128PSIMT5ND,$25,No,Visa,GSM,$35,No,Add Later
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,$55,No,Visa,GSM,$45,Yes,Add Now
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,$45,No,Visa,GSM,$55,No,Add Later
PHGS128PSIMT5ND,33178,GS128PSIMT5ND,$35,Yes,American Express,GSM,$25,Yes,Add Now
PHGS128PSIMT5ND,33178,GS128PSIMT5ND,$25,Yes,Visa,GSM,$35,No,Add Later
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,$55,Yes,Visa,GSM,$45,Yes,Add Now
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,$45,Yes,Visa,GSM,$55,No,Add Later
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,$35,No,MasterCard,GSM,$25,Yes,Add Now
PHSMGS128PSIMT5DD,33178,GS128PSIMT5DD,$25,Yes,MasterCard,GSM,$25,No,Add Later
