PartNumber,SIM,Plan,Old Model
PHGS128PSIMT5ND,GS128PSIMT5ND,GSAPPU0025,TCHUH715BG3P5
PHGS128PSIMT5ND,GS128PSIMT5ND,GSAPPU0025,STMTXT830C
PHSMGS128PSIMT5DD,GS128PSIMT5DD,GSAPPU0035,NTAPI5C32R
PHSMGS128PSIMT5DD,GS128PSIMT5DD,GSAPPU0035,STMTXT830C
PHGS128PSIMT5ND,GS128PSIMT5ND,GSAPPU0045,TCZEZ795G3P5V2
PHGS128PSIMT5ND,GS128PSIMT5ND,GSAPPU0045,TCZEZ795G3P5V2
PHSMGS128PSIMT5DD,GS128PSIMT5DD,GSAPPU0045,NTHUH871GP4SP
PHSMGS128PSIMT5DD,GS128PSIMT5DD,GSAPPU0055,TCHUH867G3P5PV2
PHSMGS128PSIMT5DD,GS128PSIMT5DD,GSAPPU0055,STMTXT830C
PHSMGS128PSIMT5DD,GS128PSIMT5DD,GSAPPU0065ILD,NTHUH871GP4SP
