PartNumber,SIM,Plan,with ILD?,CardType,Old Model,Reoccuring?
PHSMGS128PSIMT5ND,GS128PSIMT5ND,$25,No,Discover,STSAS120VCPWP,One-Time
PHSMGS128PSIMT5DD,GS128PSIMT5DD,$35,No,Visa,STMTXT830C,One-Time
PHSMGS128PSIMT5ND,GS128PSIMT5ND,$45,No,Visa,NTHUH871GP4SP,Reoccurring
PHSMGS128PSIMT5DD,GS128PSIMT5DD,$55,No,Visa,STMTXT830C,One-Time
PHSMGS128PSIMT5ND,GS128PSIMT5ND,$25,Yes,American Express,TCZEZ795G3P5V2,Reoccurring
PHSMGS128PSIMT5DD,GS128PSIMT5DD,$35,Yes,Visa,TCZEZ795G3P5V2,One-Time
PHSMGS128PSIMT5ND,GS128PSIMT5ND,$45,Yes,Visa,NTHUH871GP4SP,One-Time
PHSMGS128PSIMT5DD,GS128PSIMT5DD,$55,Yes,Visa,TCHUH867G3P5PV2,One-Time
PHSMGS128PSIMT5ND,GS128PSIMT5ND,$25,No,MasterCard,STMTXT830C,Reoccurring
PHSMGS128PSIMT5DD,GS128PSIMT5DD,$25,Yes,MasterCard,NTHUH871GP4SP,Reoccurring
