Status,PartNumber,ZipCode,SIM,PIN,CellTech,Lease
New,SMZEZ716BG3P5,33178,SM128PSIMT5RM,SMNAPP0025TT,GSM,1001
New,SMZEZ828TG3P5,33178,SM128PSIMT5N,SMNAPP0045ILD,GSM,1001
New,SMHUH891GR5,33178,SM128PSIMT5RM,SMNAPP0050BBUNL,GSM,1001
New,SMHUH871GDG,33178,SM128PSIMT5RM,SMNAPP70BBUNLILD,GSM,1001
New,PHSM64PSIMT5BLC,33178,SM64PSIMT5B,SMNAPP60BBUNL,GSM,1001
New,PHSM64PSIMT5BLC,33178,SM64PSIMT5B,SMNAPPMB0020,GSM,1001
New,PHSM64PSIMT5B,33178,SM64PSIMT5B,SMNAPP0025TT,GSM,1001
New,PHSM64PSIMT5MB,33178,SM64PSIMT5B,SMNAPP0050BBUNL,GSM,1001
New,PHSM64PSIMT5MB,33178,SM64PSIMT5B,SMNAPP20070ILDUP,GSM,1001
Past Due,PHSM64PSIMT5BLC,33178,SM64PSIMT5B,SMNAPP0020UNL,GSM,1001
Past Due,PHSM64PSIMT5B,33178,SM64PSIMT5B,SMNAPPMB0040,GSM,1001
Past Due,PHSM64PSIMT5MB,19715,SM64PSIMT5B,SMNAPP0040UNL,GSM,1001
Past Due,PHSM64PSIMT5MB,33178,SM64PSIMT5B,SMNAPP0045ILD,GSM,1001
