Status,PartNumber,SIM,ZipCode,Plan,CardType,CellTech
New,SMLGL83BGDG,SM128PSIMT5N,33178,$50 Unlimited,Discover,GSM
New,SMZEZ986DGDG,SM128PSIMT5N,33178,$30 Unlimited,Visa,GSM
New,SMZEZ232TGGY3P5P,SM128PSIMT5RM,33178,$30 Unlimited,Discover,GSM
New,SMHUH1511DGSVDG,SM128PSIMT5N,33178,$70 Upgrade,Visa,GSM
New,SMALA570BGP5P,SM128PSIMT5RM,33178,$60 Unlimited,Visa,GSM
New,SMZEZ828TGP5DU,SM128PSIMT5N,33178,$30 Unlimited,Visa,GSM
New,SMZEZ716BGP5,SM128PSIMT5RM,33178,$50 Unlimited,American Express,GSM
New,PHSM128PSIMCL7DD,TF128PSIMCL7DD,00692,$40 Unlimited,Visa,GSM
New,SMALA463BG3P5P,SM128PSIMT5RM,33178,$25 Unlimited,Visa,GSM
New,SMLCPOAGS4GP5,SM128PSIMT5RM,33178,$60 Upgrade,Visa,GSM
New,SMZEZ791G,SM128PSIMT5RM,33178,$50 Upgrade,Visa,GSM
New,SMZEZ753GWHP,SM128PSIMT5RM,33178,$30 Unlimited,Visa,GSM
New,SMZEZ667GP5,SM128PSIMT5RM,33178,$60 Upgrade,Visa,GSM
New,SMZEZ930GP5,SM128PSIMT5RM,33178,$50 Unlimited,Visa,GSM
New,PHSM64PSIMT5NB,SM64PSIMT5NB,33178,$20 Wireless Data,Visa,GSM
New,PHSM64PSIMT5MB,SM64PSIMT5B,33178,$40 Wireless Data,Master Card,GSM
Past Due,PHSM64PSIMT5MB,SM64PSIMT5B,33178,$70 Upgrade,Master Card,GSM
Past Due,PHSM64PSIMT5MB,SM64PSIMT5B,33178,$40 Unlimited,Master Card,GSM
New,SMZEZ836BGDG,SM128PSIMT5N,33178,$50 Unlimited,Master Card,GSM
New,SMZEZ798BGDG,SM128PSIMT5RM,33178,$40 Unlimited,Master Card,GSM
New,SMLGL59BGDG,SM128PSIMT5N,33178,$50 Unlimited,Master Card,GSM
New,SMLGL63BGDG,SM128PSIMT5N,33178,$40 Unlimited,Master Card,GSM
