PartNumber,SIM,PIN,ZipCode,Status,CellTech,CardType,New Plan,Queued?
SMLGL83BGP5DU,SM128PSIMT5N,SMNAPP30060,33178,New,GSM,Visa,$50 Unlimited,Now
SMZEZ986DGP5P,SM128PSIMT5N,SMNAPP20060ILDUP,33178,New,GSM,Visa,$30 Unlimited,Now
SMZEZ232TGGYP5FMP,SM128PSIMT5RM,SMNAPP0040UNL,33178,New,GSM,Visa,$50 Unlimited,Now
SMHUH1511DGSVP,SM128PSIMT5N,SMNAPP30060,33178,New,GSM,Visa,$50 Unlimited,Now
SMALA570BGWHP5,SM128PSIMT5RM,SMNAPP0050UNLILD,33178,New,GSM,Visa,$30 Unlimited,Queued
SMZEZ828TGP5SP,SM128PSIMT5N,SMNAPP0040UNL,33178,New,GSM,Visa,$50 Unlimited,Queued
SMZEZ716BGR5,SM128PSIMT5RM,SMNAPP0050BBUNL,33178,New,GSM,Visa,$30 Unlimited,Now
SMALA463BGP5AS,SM128PSIMT5RM,SMNAPP20050ILDUP,33178,New,GSM,Visa,$30 Unlimited,Queued
SMZEZ955GWHP,SM128PSIMT5RM,SMNAPP20050ILDUP,33178,New,GSM,Visa,$60 Upgrade,Now
SM3GCPOAGS4GP5,SM128PSIMT5RM,SMNAPP0040UNL,33178,New,GSM,Visa,$40 Unlimited,Now
SMLCPOAGS4GP5,SM128PSIMT5RM,SMNAPP30060,33178,New,GSM,Visa,$25 Unlimited,Now
SMHUH891GWHP,SM128PSIMT5RM,SMNAPP0050BBUNL,33178,New,GSM,Visa,$40 Unlimited,Now
SMHUH891GR,SM128PSIMT5RM,SMNAPP0040UNL,33178,New,GSM,Visa,$50 Upgrade,Queued
PHSM64PSIMT5MB,SM64PSIMT5MB,SMNAPPMB0020,33178,New,GSM,Visa,$20 Wireless Data,Now
SMZEZ791GP,SM128PSIMT5RM,SMNAPP30060,33178,New,GSM,Visa,$30 Unlimited,Queued
SMZEZ753GP,SM128PSIMT5RM,SMNAPP0040UNL,33178,New,GSM,Visa,$60 Unlimited,Now
SMZEZ930GP5-5,SM128PSIMT5RM,SMNAPP0050BBUNL,33178,New,GSM,Visa,$70 Upgrade,Now
SMZEZ930GP5AS,SM128PSIMT5RM,SMNAPP30060,33178,New,GSM,Visa,$60 Upgrade,Queued
SMZEZ836BGP5,SM128PSIMT5N,SMNAPP0025TT,33178,New,GSM,Visa,$70 Upgrade,Now
SMZEZ798BG3P5,SM128PSIMT5RM,SMNAPP0040UNL,33178,New,GSM,Visa,$60 Upgrade,Queued
SMLGL59BGFDP5,SM128PSIMT5N,SMNAPP0025TT,33178,New,GSM,Visa,$70 Upgrade,Now
SMLGL63BGFDP5,SM128PSIMT5N,SMNAPP0040UNL,33178,New,GSM,Visa,$60 Upgrade,Queued
