PartNumber,SIM,Zip,Plan,Provider
SMLGL83BGP5ET,SM128PSIMT5N,33178,SMNAPP20070ILDUP,AT&T
SMZEZ986DG3P5P,SM128PSIMT5N,33178,SMNAPP0040UNL,SPRINT
SMZEZ232TGGYWHP,SM128PSIMT5RM,33178,SMNAPP0040UNL,AT&T
SMHUH1511DGSVR,SM128PSIMT5N,33178,SMNAPP0050UNLILD,SPRINT
SMALA570BG3P5P,SM128PSIMT5RM,33178,SMNAPP20070ILDUP,T-MO
SMZEZ828TGP,SM128PSIMT5N,33178,SMNAPP0050UNLILD,VERIZON
SMZEZ716BG3P5,SM128PSIMT5RM,33178,SMNAPP0040UNL,AT&T
SMZEZ818GP5P,SM128PSIMT5RM,33178,SMNAPP0040UNL,SPRINT
SM3GCPOAGS4GP5,SM128PSIMT5RM,33178,SMNAPP0025TT,T-MO
SMHUH891GP,TF64SIMC4RM,33178,SMNAPPMB0040,VERIZON
SMZEZ791GP5SP,SM128PSIMT5RM,33178,SMNAPP0050UNLILD,AT&T
SMZEZ667GRCS,SM128PSIMT5RM,33178,SMNAPP20070ILDUP,SPRINT
SMHUH871GP5DU,SM128PSIMT5RM,33178,SMNAPP20070ILDUP,T-MO
SMZEZ930GWHP,SM128PSIMT5RM,33178,SMNAPP0050BBUNL,VERIZON
PHSM64PSIMT5BMB,SM64PSIMT5BMB,33178,SMNAPP20050ILDUP,AT&T
PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP20070ILDUP,SPRINT
PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP20070ILDUP,T-MO
PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP0040UNL,VERIZON
SMZEZ836BG3P5,SM128PSIMT5N,33178,SMNAPP0050BBUNL,T-MO
SMZEZ798BG3P5,SM128PSIMT5RM,33178,SMNAPP20050ILDUP,VERIZON
SMLGL59BGP5AS,SM128PSIMT5N,33178,SMNAPP0050BBUNL,T-MO
SMLGL63BGP5AS,SM128PSIMT5N,33178,SMNAPP20050ILDUP,VERIZON
