Status,PartNumber,SIM,ZipCode,PIN,CellTech,PIN1
New,SMLGL83BGWHP,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,SMNAPP0025TT
New,SMZEZ986DGP5DU,SM128PSIMT5N,33178,SMNAPP0040UNL,GSM,SMNAPP0050BBUNL
New,SMZEZ232TGGYP5ET,SM128PSIMT5RM,33178,SMNAPP30060,GSM,SMNAPP20070ILDUP
New,SMHUH1511DGSVP5P,SM128PSIMT5N,33178,SMNAPP0020UNL,GSM,SMNAPP30060
New,SMALA570BGP5DU,SM128PSIMT5RM,33178,SMNAPP20050ILDUP,GSM,SMNAPP20070ILDUP
New,SMZEZ828TG3P5,SM128PSIMT5N,33178,SMNAPP30060,GSM,SMN20040
New,SMZEZ716BGP5DG,SM128PSIMT5RM,33178,SMNAPP0050BBUNL,GSM,SMNAPP30060
New,SMZEZ955GP5P,SM128PSIMT5RM,33178,SMNAPP30060,GSM,SMN20040
New,SMZEZ818GP5DG,SM128PSIMT5RM,33178,SMN20050,GSM,SMN20025
New,SMALA463BGWHP5,SM128PSIMT5RM,33178,SMNAPP20050ILDUP,GSM,SMNAPP20070ILDUP
New,SMZEZ791GP5-5,SM128PSIMT5RM,33178,SMNAPP30060,GSM,SMN20040
New,SMZEZ753GP5AS,SM128PSIMT5RM,33178,SMN20050,GSM,SMN20025
New,PHSM64PSIMT5NB,SM64PSIMT5NB,33178,SMNAPP20050ILDUP,GSM,SMNAPP0040UNL
New,SMHUH891GWHP5,SM128PSIMT5RM,33178,SMNAPP0050BBUNL,GSM,SMNAPP30060
New,SMZEZ836BGP,SM128PSIMT5N,33178,SMNAPP0025TT,GSM,SMNAPP0050BBUNL
New,SMZEZ798BGP,SM128PSIMT5RM,33178,SMNAPP0040UNL,GSM,SMNAPP20050ILDUP
New,SMLGL59BGP5DG,SM128PSIMT5N,33178,SMNAPP0025TT,GSM,SMNAPP0050BBUNL
New,SMLGL63BGP5DG,SM128PSIMT5N,33178,SMNAPP0040UNL,GSM,SMNAPP20050ILDUP
