PartNumber,SIM,Zip,Plan,Old Model
SMLGL83BG2R5,SM128PSIMT5N,33178,SMNAPP0040UNL,TFLG329GP5P
SMZEZ986DGR5,SM128PSIMT5N,33178,SMNAPP0050UNLILD,STRM9310CPWP
SMZEZ232TGGYWHP,SM128PSIMT5RM,33178,SMNAPP0040UNL,TCHUH715BG3P5
SMHUH1511DGSVR,SM128PSIMT5N,33178,SMNAPP0050UNLILD,STMTXT830C
SMALA570BG3P5P,SM128PSIMT5RM,33178,SMNAPP20070ILDUP,NTHUH871GP4SP
SMALA570BGP5DU,SM128PSIMT5N,33178,SMNAPP0050UNLILD,TFLGL63BGP5
SMZEZ716BG3P5,SM128PSIMT5RM,33178,SMNAPP0040UNL,TCZEZ795G3P5V2
SMZEZ818GP5P,SM128PSIMT5RM,33178,SMNAPP0040UNL,TCZEZ795G3P5V2
SM3GCPOAGS4GP5,SM128PSIMT5RM,33178,SMNAPP0025TT,NTHUH871GP4SP
SMHUH891GP,TF64SIMC4RM,33178,SMNAPPMB0040,TCHUH867G3P5PV2
SMZEZ791GP5SP,SM128PSIMT5RM,33178,SMNAPP0050UNLILD,STMTXT830C
SMZEZ667GRCS,SM128PSIMT5RM,33178,SMNAPP20070ILDUP,NTHUH871GP4SP
SMHUH871GP5DU,SM128PSIMT5RM,33178,SMNAPP20070ILDUP,STMTXT830C
SMZEZ930GWHP,SM128PSIMT5RM,33178,SMNAPP0050BBUNL,TCZEZ795G3P5V2
PHSM64PSIMT5BMB,SM64PSIMT5BMB,33178,SMNAPP20050ILDUP,PHNT64PSIMC4BMB
PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP20070ILDUP,NTLGL95GP5
PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP20070ILDUP,STMTXT830C
PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP0040UNL,TF3390PD2
SMZEZ836BG3P5,SM128PSIMT5N,33178,SMNAPP0025TT,STMTXT830C
SMZEZ798BG3P5,SM128PSIMT5RM,33178,SMNAPP0040UNL,TF3390PD2
SMLGL59BGP5P,SM128PSIMT5N,33178,SMNAPP0025TT,STMTXT830C
SMLGL63BGP5P,SM128PSIMT5N,33178,SMNAPP0040UNL,TFLGL51AGP4-5
