status,ESN,SIM,zipCode,Pin1,cellTech,Pin2
New,SMLGL83BGP5AS,SM128PSIMT5N,33178,SMNAPP0050BBUNL,GSM,SMNAPP30060
New,SMZEZ986DGP5,SM128PSIMT5N,33178,SMNAPP20060ILDUP,GSM,SMNAPP30060
New,SMZEZ232TGGYP5P,SM128PSIMT5RM,33178,SMNAPP0060ILD,GSM,SMNAPP0040UNL
New,SMHUH1511DGSVP5,SM128PSIMT5N,33178,SMNAPP0060ILD,GSM,SMNAPP0035UNL
New,SMALA570BGP,SM128PSIMT5RM,33178,SMNAPP0040UNL,GSM,SMNAPP0040UNL
New,SMZEZ828TGP5,SM128PSIMT5N,33178,SMNAPP0060ILD,GSM,SMNAPP0035UNL
New,SMZEZ716BG,SM128PSIMT5RM,33178,SMNAPP0020UNL,GSM,SMNAPP60BBUNL
New,SMZEZ818G3P5,SM128PSIMT5RM,33178,SMN20025,GSM,SMNAPP0050UNLILD
New,SMLCPOAGS4GP5,SM128PSIMT5RM,33178,SMNAPP0025TT,GSM,SMNAPP0060ILD
New,SMZEZ753GP5-5,SM128PSIMT5RM,33178,SMNAPP0040UNL,GSM,SMN20025
New,SMZEZ930GP5DG,SM128PSIMT5RM,33178,SMNAPP0020UNL,GSM,SMNAPP0060ILD
New,SMHUH871GP5DG,SM128PSIMT5RM,33178,SMNAPP0040UNL,GSM,SMNAPP0045ILD
New,SMZEZ667GP5AS,SM128PSIMT5RM,33178,SMNAPP0020UNL,GSM,SMNAPP60BBUNL
New,PHSM64PSIMT5NB,SM64PSIMT5NB,33178,SMNAPP0045ILD,GSM,SMNAPP20060ILDUP
New,PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP20060ILDUP,GSM,SMNAPP0040UNL
New,PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP30060,GSM,SMNAPP30060
New,PHSM64PSIMT5B,SM64PSIMT5B,33178,SMNAPP30060,GSM,SMNAPP30060
New,PHSM64PSIMT5MB,SM64PSIMT5B,19715,SMNAPP0055ILD,GSM,SMNAPP20060ILDUP
New,SMZEZ836BGP5,SM128PSIMT5N,33178,SMNAPP0025TT,GSM,SMNAPP0050BBUNL
New,SMZEZ798BG3P5,SM128PSIMT5RM,33178,SMNAPP0040UNL,GSM,SMNAPP20050ILDUP
New,SMZEZ836BG3P5,SM128PSIMT5N,33178,SMNAPP0025TT,GSM,SMNAPP0050BBUNL
New,SMZEZ798BG3P5,SM128PSIMT5RM,33178,SMNAPP0040UNL,GSM,SMNAPP20050ILDUP
New,SMLGL59BGWHP5,SM128PSIMT5N,33178,SMNAPP0025TT,GSM,SMNAPP0050BBUNL
New,SMLGL63BGWHP5,SM128PSIMT5N,33178,SMNAPP0040UNL,GSM,SMNAPP20050ILDUP
