Part Number,SIM,Zip,PIN,Cell Tech,Brand,# Devices,Child1,ChildSim1,Child2,ChildSim2,Child3,ChildSim3,Card Type,CVV,Plan Type,Redemption On,PIN2,ILD?,Quantity,Decription
WFMAPI8G256GYP5,WA128PSIMT5N,33178,WFMAPPU0029,GSM,WFM,,,,,,,,Visa,123,One-Time,,WFMAPPU0049,,,
WFMAPI8PG64GDR,WA128PSIMT5N,33178,WFMAPPU0029,GSM,WFM,,,,,,,,Visa,123,One-Time,,WFMAPPU0049,,,
WFMLML413DGRCS5,WA128PSIMT5N,33178,WFMAPPU0029,GSM,WFM,,,,,,,,Visa,123,One-Time,,WFMAPPU0049,,,
WFMZEZ970GWHP5,WA128PSIMT5N,33178,WFMAPPU0029,GSM,WFM,,,,,,,,Visa,123,One-Time,,WFMAPPU0049,,,
WFMSAG900T3GP5,WA128PSIMT5N,33178,WFMAPPU0029,GSM,WFM,,,,,,,,Visa,123,One-Time,,WFMAPPU0049,,,
PHWFM128PSIMT5TD,WFM128PSIMT5TD,7054,WFMAPPU0039,GSM,WFM,,,,,,,,ACH,,Reoccuring,,WFMAPPU0024,,,
WFMZEZ557BGP5P,WA128PSIMT5N,33178,WFMAPPU0029,GSM,WFM,,,,,,,,Visa,123,,,WFMAPPU0029,,,
WFMZEZ557BGWHP,WA128PSIMT5N,33178,WFMAPPU0029,GSM,WFM,,,,,,,,Visa,123,,,WFMAPPU0029,,,
WFMSAG965U1GWHP,WA128PSIMT5N,33178,WFMAPPU0029,GSM,WFM,,,,,,,,Visa,123,,,WFMAPPU0029,,,
WFMSAG960U1GWHP5,WA128PSIMT5N,33178,WFMAPPU0039,GSM,WFM,,,,,,,,Visa,123,,,WFMAPPU0029,,,
WFMZEZ610DGR,WA128PSIMT5N,33178,WFMAPPU0024,GSM,WFM,,,,,,,,Visa,123,,,WFMAPPU0029,,,
PHGS128PSIMT5ND,GS128PSIMT5ND,33178,GSAPPU0025,GSM,GO_SMART,,,,,,,,Visa,123,One-Time,,GSAPPU0025,,,
PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,GSAPPU0055,GSM,GO_SMART,,,,,,,,Visa,123,One-Time,,GSAPPU0055,,,
PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,GSAPPU0065ILD,GSM,GO_SMART,,,,,,,,Visa,123,One-Time,,GSAPPU0065ILD,,,
TWSAN950U1CPDG,TF256PSIMV9N,33178,TWAPP00085,CDMA,TOTAL_WIRELESS,,,,,,,,Discover,123,One-Time,,TWAPP00110,,,
TWZEZ899VCPDG,TF256PSIMV9RM,33178,TWAPP00085,CDMA,TOTAL_WIRELESS,,,,,,,,Visa,123,One-Time,,TWAPP00060,,,
