PartNumber,SIM,PIN,CellTech,Brand,Reason,Type,Repl Type,Group
PHGS128PSIMT5ND,GS128PSIMT5ND,GSAPPU0025,GSM,GO_SMART,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Reference esn,Unlimited
PHGS128PSIMT5ND,GS128PSIMT5ND,GSAPPU0035,GSM,GO_SMART,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Reference pin,Unlimited
PHSMGS128PSIMT5DD,GS128PSIMT5DD,GSAPPU0045,GSM,GO_SMART,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Open Access,Unlimited
PHSMGS128PSIMT5DD,GS128PSIMT5DD,GSAPPU0055,GSM,GO_SMART,Features Issue,Compensation,,Unlimited
SMAPIXG64SV,SM128PSIMT5N,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Reference esn,Unlimited
SMZEZ232TGGY,SM128PSIMT5RM,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Reference esn,Unlimited
SMLGL83BG,SM128PSIMT5N,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Reference pin,Unlimited
SMZEZ557BGP5ET5,SM128PSIMT5N,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Features Issue,Compensation,Open Access,Unlimited
SMZEZ557BGP5ET6,SM128PSIMT5N,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Open Access,Unlimited
SMAPI8G64GDR,SM128PSIMT5N,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Features Issue,Compensation,Open Access,Unlimited
SMAPI8PG64GDR,SM128PSIMT5N,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Open Access,Unlimited
SMLML413DGP5DU,SM128PSIMT5N,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Reference pin,Unlimited
SMSAG965U1G,SM128PSIMT5N,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Open Access,Unlimited
SMSAG960U1GP5ET,SM128PSIMT5N,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Features Issue,Compensation,Open Access,Unlimited
SMZEZ610DGWHP,SM128PSIMT5N,SMNAPP0040UNL,GSM,SIMPLE_MOBILE,Port Request Cancellation (Requested a Port and is now requesting a new number),Replacement,Open Access,Unlimited
WFMSAG950U1GRCS,WA128PSIMT5N,WFMAPPU0029,GSM,WFM,Features Issue,Compensation,,Unlimited
PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMAPPU0024,GSM,WFM,Features Issue,Compensation,,Unlimited
WFMSAS550TGP5P,WFM128PSIMT5TM,WFMAPPU0049,GSM,WFM,Equipment Not Received,Replacement,Open Access,Unlimited
WFMZEZ557BG,WA128PSIMT5N,WFMAPPU0029,GSM,WFM,Not Able to Make or Receive Calls,Replacement,Reference esn,Unlimited
WFMZEZ557BGP,WA128PSIMT5N,WFMAPPU0039,GSM,WFM,Not Able to Make or Receive Calls,Compensation,Reference esn,Unlimited
WFMSAG965U1GWHP5,WA128PSIMT5N,WFMAPPU0029,GSM,WFM,Not Able to Make or Receive Calls,Replacement,Reference esn,Unlimited
WFMSAG960U1GRCS,WA128PSIMT5N,WFMAPPU0039,GSM,WFM,Not Able to Make or Receive Calls,Compensation,Reference esn,Unlimited
