Brand,Carrier,Is LTE?,Is iPhone?,Cust Have SIM?,Is Active?,ESN Type,ZIP
NET10,Sprint,Yes,Yes,No,Active,DECIMAL,33178
NET10,Sprint,Yes,No,No,Not Active,HEX,33178
NET10,Sprint,No,Yes,No,Active,HEX,33178
NET10,RSS,Yes,Yes,No,Not Active,DECIMAL,33178
NET10,RSS,Yes,No,Yes,Active,HEX,33178
NET10,RSS,No,No,No,Not Active,DECIMAL,33178
NET10,RSS,Yes,Yes,Yes,Not Active,DECIMAL,33178
TRACFONE,RSS,Yes,Yes,Yes,Not Active,DECIMAL,33178
TRACFONE,RSS,Yes,No,Yes,Active,HEX,33178
TRACFONE,RSS,Yes,No,No,Not Active,DECIMAL,33178
TRACFONE,RSS,No,No,No,Not Active,DECIMAL,33178
STRAIGHT_TALK,Sprint,Yes,Yes,No,Active,HEX,33178
STRAIGHT_TALK,Sprint,Yes,No,No,Not Active,DECIMAL,33178
STRAIGHT_TALK,Sprint,No,No,No,Active,DECIMAL,33178
STRAIGHT_TALK,RSS,Yes,Yes,Yes,Not Active,DECIMAL,33178
STRAIGHT_TALK,RSS,Yes,Yes,Yes,Not Active,DECIMAL,33178
STRAIGHT_TALK,RSS,Yes,No,No,Not Active,DECIMAL,33178
STRAIGHT_TALK,RSS,No,No,No,Not Active,DECIMAL,33178
TOTAL_WIRELESS,RSS,Yes,Yes,Yes,Not Active,DECIMAL,33178
TOTAL_WIRELESS,RSS,Yes,Yes,Yes,Not Active,DECIMAL,33178
TOTAL_WIRELESS,RSS,Yes,No,No,Not Active,DECIMAL,33178
TOTAL_WIRELESS,RSS,No,No,No,Not Active,DECIMAL,33178
