PartNumber(old),SIM(old),PIN(old),Brand(old),CellTech(old),PartNumber,SIM,Brand,PIN,CellTech,Type
TFSAS738CTMPWP,,TSAPP40300,TRACFONE,CDMA,PHGS128PSIMT5ND,GS128PSIMT5ND,GO_SMART,GSAPPU0025,GSM,New
TFLG236CWHP,TF128PSIMC4RM,TSAPP40300,TRACFONE,CDMA,PHSMGS128PSIMT5DD,GS128PSIMT5DD,GO_SMART,GSAPPU0055,GSM,New
TFAPI4SCWTWHP,TF128PSIMC4RM,TSAPP50030,TRACFONE,CDMA,PHSMGS128PSIMT5DD,GS128PSIMT5DD,GO_SMART,GSAPPU0065ILD,GSM,New
NTALA845GP4,TF64PSIMC4,NTAPP6U035,NET10,GSM,PHSM64PSIMT5BLC,SM64PSIMT5B,SIMPLE_MOBILE,SMNAPP20065ILD,GSM,Active
TFZEZ716BGP4-5,TF128PSIMC4RM,TSAPP40450,TRACFONE,GSM,SMZEZ828TG3P5,SM128PSIMT5N,SIMPLE_MOBILE,SMNAPP0050BBUNL,GSM,New
TFLG236CWHP,TF128PSIMC4RM,TSAPP40300,TRACFONE,CDMA,STLG305C,,STRAIGHT_TALK,NTNMP00045,CDMA,New
SMZEZ930GDG,SM128PSIMT5RM,SMNAPP0025TT,SIMPLE_MOBILE,GSM,STAPI6C16SV,TF256PSIMV9N,STRAIGHT_TALK,NTAPPMP00045TR,CDMA,New
TCSAM828CP,,TCAPP00029ILD,TELCEL,CDMA,STLG238CP,,STRAIGHT_TALK,NTAPPMP00045SA,CDMA,New
SMZEZ930GDG,SM128PSIMT5RM,SMNAPP0025TT,SIMPLE_MOBILE,GSM,STZEZ291DGWHP5,TF128PSIMT5RM,STRAIGHT_TALK,NTAPPMP00045,GSM,New
SMZEZ930GDG,SM128PSIMT5RM,SMNAPP0025TT,SIMPLE_MOBILE,GSM,STZEZ291DC,TF256PSIMV9RM,STRAIGHT_TALK,NTAPPMP00045SA,CDMA,New
TCSAM828CP,TF64PSIMT5RM,TCAPP00029ILD,TELCEL,CDMA,STSAS935DGSVWHP5,TF128PSIMT5N,STRAIGHT_TALK,NTAPPMP00045TR,GSM,New
SMZEZ930GDG,SM128PSIMT5RM,SMNAPP0025TT,SIMPLE_MOBILE,GSM,STSAS935DCSVWHP,TF256PSIMV9N,STRAIGHT_TALK,NTAPPMP00045,CDMA,New
STSAS765CP,TF128PSIMC4RM,NTNMP00045,STRAIGHT_TALK,CDMA,NTZEZ667GP4DG,TF64PSIMC4RM,NET10,NTAPPU0065ILD,GSM,Active
TFLG306G,TF64SIMC4,TFSAPP1SPH500,TRACFONE,GSM,NTLCPOAGS4GP5,TF128PSIMT5RM,NET10,NTAPP6U060,GSM,New
STZEZ768G,TF64PSIMT5,NTNMP00045,STRAIGHT_TALK,GSM,NTZEZ716BG3P4P,TF128PSIMC4RM,NET10,NTAPPU0065ILD,GSM,New
STLGL17AG,TF128PSIMCL7RM,NTAPPMP00045TR,STRAIGHT_TALK,GSM,NTZEZ716BGP7P,TF128PSIMC4RM,NET10,NTAPPU0065ILD,GSM,New
STZEZ660GP4,TF64PSIMC4,NTAPPMP00045TR,STRAIGHT_TALK,GSM,NTLG329G3P4,TF128SIMC4,NET10,NTAPPU0065ILD,GSM,New
STLGL17AG,TF128PSIMC4RM,NTAPPMP00060ILD,STRAIGHT_TALK,CDMA,NTLGL44VCR,TF256PSIMV9N,NET10,NTAPP60080ILDUP,CDMA,New
TFLG306G,TF128PSIMC4RM,TSAPP40120,TRACFONE,GSM,NTLGL51AGR,TF128PSIMCL7N,NET10,NTAPPU0065ILD,GSM,New
STZEZ660GP4,TF128PSIMC4RM,NTAPPMP00045SA,STRAIGHT_TALK,CDMA,NTLGL61AG3P7P,TF128PSIMC4N,NET10,NTAPP6U060,GSM,New
STZEZ768G,TF64SIMC4,NTAPPMP00045SA,STRAIGHT_TALK,CDMA,NTHUH1511DCP,TF256PSIMV9N,NET10,NTAPPU0065ILD,CDMA,New
STZEZ768G,TF64PSIMT5,NTNMP00045,STRAIGHT_TALK,GSM,NTLG238C3P,,NET10,NTAPP60080ILDUP,CDMA,New
STLGL17AG,TF128PSIMCL7RM,NTAPPMP00045TR,STRAIGHT_TALK,GSM,NTSAS320VC3P,TF256PSIMV9N,NET10,NTAPPU0065ILD,CDMA,New
STZEZ660GP4,TF64PSIMC4,NTAPPMP00045TR,STRAIGHT_TALK,GSM,NTSAS550TGDG,TF128PSIMT5N,NET10,NTAPP60070ILDUP,GSM,New
STLGL17AG,TF128PSIMC4RM,NTAPPMP00060ILD,STRAIGHT_TALK,CDMA,NTZEZ916BGP5P,TF128PSIMT5RM,NET10,NTAPPU0065ILD,GSM,New
TFLG306G,TF128PSIMC4RM,TFAPP01000TXT,TRACFONE,GSM,NTLGL53BGR7,TF128PSIMCL7N,NET10,NTAPP60060ILDUP,GSM,New
SMZEZ667G,SM128PSIMT5RM,SMNAPP0025TT,SIMPLE_MOBILE,GSM,TFSAS935DCSVPRS,TF256PSIMV9N,TRACFONE,TSAPP403000,CDMA,New
SMZEZ667G,SM128PSIMT5RM,SMNAPP0025TT,SIMPLE_MOBILE,GSM,TFAPI6G16GYR4,TF128PSIMC4N,TRACFONE,TSAPP4001Y,GSM,New
TCHUH883GP5,TF64PSIMT5,TCAPP00029ILD,TELCEL,GSM,TFAPI6PG16GY,TF128PSIMC4N,TRACFONE,TSAPP402000,GSM,New
