Part,SIM,PIN,Brand,Zip,Cell Tech,Phone Status
TWLGL52VC,TF256PSIMV9N,TWP00060,TOTAL_WIRELESS,33178,CDMA,New
TWZEZ819CPWP,TF256PSIMV9RM,TWP00060,TOTAL_WIRELESS,33178,CDMA,New
STHUH892CP,TF256PSIMV9RM,NTPMP00060ILD,STRAIGHT_TALK,33178,CDMA,New
STLG329GR5,TF128SIMT5,STAPP30035,STRAIGHT_TALK,33178,GSM,New
TCSAS275G3P5,TF64SIMT5,TCAPP00045ILD,TELCEL,33178,GSM,New
TCZEZ716BGP5P,TF128PSIMT5RM,TCAPPUNLILD60,TELCEL,33178,GSM,New
NTLGL52VC3PWP,TF256PSIMV9N,NTAPPU0065ILD,NET10,33178,CDMA,New
NTZEZ716BGP7P,TF128PSIMCL7RM,NTAPP6U035,NET10,33178,GSM,New
TFLGL52VCPAS,TF256PSIMV9N,TSAPP40060,TRACFONE,33178,CDMA,New
TFZEZ716BGP4-5,TF128PSIMC4RM,TSAPP40450,TRACFONE,33178,GSM,New
