Brand,PartNumber,Status,New DealerId
GO_SMART,PHGS128PSIMT5ND,Active,1005
GO_SMART,PHSMGS128PSIMT5DD,New,1003
TOTAL_WIRELESS,TWUXU671C,Active,1005
SIMPLE_MOBILE,PHSM64PSIMT5B,New,1001
STRAIGHT_TALK,STHUH882CPWP,Past Due,1003
STRAIGHT_TALK,STLG900GP4,Used,1001
NET10,NTHUH882CDG,Refurbished,1003
NET10,NTSAT330GP5,Active,1001
TELCEL,TCZEZ660GP5,New,1003
TELCEL,TCLG236C,Past Due,1001
TRACFONE,TFLG100CP,New,1003
TRACFONE,TFALA382GDMP4,Past Due,1001
TRACFONE,WFMZEZ836BGP5,New,1003
WFM,WFMLGL57BGP,Active,1003
WFM,WFMZEZ836BGP,New,1001
