PartNumber,Status,CellTech,Brand,New Part Number
TWSAS968C,New,CDMA,TOTAL_WIRELESS,TWSAS968CR
PHSM64PSIMT5BLC,New,GSM,SIMPLE_MOBILE,PHSM64PSIMT5MB
PHSM64PSIMT5BLC,Past Due,GSM,SIMPLE_MOBILE,PHSM64PSIMT5MB
PHSM64PSIMT5B,New,GSM,SIMPLE_MOBILE,PHSM64PSIMT5BLC
PHSM64PSIMT5MB,Used,GSM,SIMPLE_MOBILE,PHSM64PSIMT5B
STHUH882CPWP,New,CDMA,STRAIGHT_TALK,STSAS765CP
STZEZ665CP,Past Due,CDMA,STRAIGHT_TALK,STSAS765CP
STLG900GP4,New,GSM,STRAIGHT_TALK,STHUH871GP4P
STLG420GP4,Used,GSM,STRAIGHT_TALK,STZEZ667GP4P
NTHUH882CDG,New,CDMA,NET10,NTSAS765CPDU
WFMLGL57BGP,New,GSM,WFM,WFMAL4060WGP5
