Status,PartNumber,SIM,Zipcode,PIN,CellTech,Reason,Brand
New,PHGS128PSIMT5ND,GS128PSIMT5ND,33178,GSAPPU0025,GSM,PASTDUE Line Status : RESERVED USED,GO_SMART
New,PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,GSAPPU0035,GSM,NO NEED OF PHONE Line Status : RESERVED USED,GO_SMART
New,TWSAN950U1C3PWP,TF256PSIMV9N,33178,TWAPP00085,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,TWZEZ899VC3PWP,TF256PSIMV9RM,33178,TWAPP00060,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,TWZEZ986DCDG,TF256PSIMV9N,33178,TWAPP00060,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,TWAPI8C64SV,TF256PSIMV9N,33178,TWAPP00060,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,TWAPI8PC64GY.2,TF256PSIMV9N,33178,TWAPP00085,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,TWZEZ558VCPDU,TF256PSIMV9N,33178,TWAPP00060,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,TWAPIXC64GY,TF256PSIMV9N,33178,TWAPP00085,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,TWLML413DCPSP,TF256PSIMV9N,33178,TWAPP00085,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,TWSAG965U1C2R,TF256PSIMV9N,33178,TWAPP00085,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,TWSAG960U1CPTGP,TF256PSIMV9N,33178,TWAPP00060,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,TWZEZ610DC2R,TF256PSIMV9N,33178,TWAPP00085,CDMA,PASTDUE Line Status : RESERVED USED,TOTAL_WIRELESS
New,SMAPIXG64SVR,SM128PSIMT5N,33178,SMNAPP0025TT,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP0025TT,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP0040UNL,GSM,NO NEED OF PHONE Line Status : RESERVED USED,SIMPLE_MOBILE
New,SMZEZ557BGP5ET5,SM128PSIMT5N,33178,SMNAPP30060,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,SMZEZ557BGP5ET6,SM128PSIMT5N,33178,SMNAPP30060,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,SMSAN950U1GWHP5,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,SMAPI8G64GYP5,SM128PSIMT5N,33178,SMNAPP30060,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,SMAPI8PG64GYP,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,SMLML413DGFDP5,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,SMSAG965U1GRCS,SM128PSIMT5N,33178,SMNAPP30060,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,SMSAG960U1GP5ET6,SM128PSIMT5N,33178,SMNAPP20070ILDUP,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,SMZEZ610DGWHP,SM128PSIMT5N,33178,SMNAPP30060,GSM,PASTDUE Line Status : RESERVED USED,SIMPLE_MOBILE
New,STZEZ558VCRCS,TF256PSIMV9N,33178,STAPP20055,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STAPIXC64SV,TF256PSIMV9N,33178,STAPP20055,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STAPIXG64GYR,TF128PSIMC4N,33178,STAPP20055,GSM,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STSAG955UCGY,TF256PSIMV9N,33178,STAPP20055,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STSAG950UCGY,TF256PSIMV9N,33178,NTAPPMP00060ILD,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STZEZ750C,,33178,NTNMP00045,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STLGL62VCPWP,TF256PSIMV9N,33178,NTAPPMP00045SA,CDMA,NO NEED OF PHONE Line Status : RESERVED USED,STRAIGHT_TALK
New,STAPI8G64GDP4P,TF128PSIMC4N,33178,STAPP20055,GSM,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STAPI8C64SV,TF256PSIMV9N,33178,NTAPPMP000451Y,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STAPI8PG64GYP4,TF128PSIMC4N,33178,NTAPPMP00060ILD,GSM,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STAPI8PC64GYPWP.2,TF256PSIMV9N,33178,STAPP20055,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STZEZ557BG2R5,TF128PSIMC4N,33178,STAPP20055,GSM,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STZEZ557BG2R7,TF128PSIMC4N,33178,STAPP20055,GSM,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STLML413DGWHP4,TF128PSIMT5N,33178,NTAPPMP00060ILD,GSM,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STLML413DCWHP,TF256PSIMV9N,33178,STAPP20055,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STSAG965U1GRCS5,TF128PSIMT5N,33178,NTAPPMP000451Y,GSM,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STSAG965U1CPWP,TF256PSIMV9N,33178,NTAPPMP00060ILD,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STSAG960U1GWHP5,TF128PSIMT5N,33178,STAPP20055,GSM,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STSAG960U1CWHP,TF256PSIMV9N,33178,STAPP20055,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STZEZ610DGP5P,TF128PSIMT5N,33178,STAPP20055,GSM,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,STZEZ610DCPWP,TF256PSIMV9N,33178,NTAPPMP00060ILD,CDMA,PASTDUE Line Status : RESERVED USED,STRAIGHT_TALK
New,TCSAS275G3P5,TF64SIMT5,33178,TCAPP00045ILD,GSM,PASTDUE Line Status : RESERVED USED,TELCEL
New,NTZEZ750CPTGP,,33178,NTAPP6U060,CDMA,PASTDUE Line Status : RESERVED USED,NET10
New,NTALA383GRCS7,TF64SIMCL7,692,NTAPPU0065ILD,GSM,PASTDUE Line Status : RESERVED USED,NET10
New,NT256PBYOPN,TF256PSIMV9ND,33178,NTAPPU0065ILD,CDMA,PASTDUE Line Status : RESERVED USED,NET10
New,NTLG329G3P5,TF64SIMC4,33178,NTAPP6U040,GSM,PASTDUE Line Status : RESERVED USED,NET10
New,TFSAS380CTMP,,33178,TSAPP40300,CDMA,PASTDUE Line Status : RESERVED USED,TRACFONE
New,TFALA564CP,,33178,TSAPP40200,CDMA,PASTDUE Line Status : RESERVED USED,TRACFONE
New,TFALA460GP5AS,TF128PSIMT5RM,33178,TSAPP40060,GSM,PASTDUE Line Status : RESERVED USED,TRACFONE
New,TFLG329GR4,TF128SIMC4,33178,TSAPP40120,GSM,PASTDUE Line Status : RESERVED USED,TRACFONE
New,TFZEZ558VCFDP,TF256PSIMV9N,33178,TFSAPP1SPH750,GSM,PASTDUE Line Status : RESERVED USED,TRACFONE
New,TFLML413DGP4,TF128PSIMC4N,33178,TFSAPP1SPH500,GSM,PASTDUE Line Status : RESERVED USED,TRACFONE
New,TFLML413DCPTGP,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,PASTDUE Line Status : RESERVED USED,TRACFONE
New,TFZEZ610DG2R5,TF128PSIMT5N,33178,TFSAPP1SPH500,GSM,PASTDUE Line Status : RESERVED USED,TRACFONE
New,TFZEZ610DCPDG,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,PASTDUE Line Status : RESERVED USED,TRACFONE
New,WFMLGL57BGP,WFM128PSIMT5TM,33178,WFMAPPU0029,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,PHWFM128PSIMT5TD,WFM128PSIMT5TD,33178,WFMAPPU0049,GSM,NO NEED OF PHONE Line Status : RESERVED USED,WFM
New,WFMSAS337TG,WFM128PSIMT5TM,33178,WFMAPPU0029,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,WFMSAS737TG,WA128PSIMT5N,33178,WFMAPPU0029,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,WFMZEZ557BGP,WA128PSIMT5N,33178,WFMAPPU0029,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,WFMZEZ557BG,WA128PSIMT5N,33178,WFMAPPU0029,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,WFMAPI8G256GYR5,WA128PSIMT5N,33178,WFMAPPU0029,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,WFMAPI8PG256GYP5,WA128PSIMT5N,33178,WFMAPPU0029,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,WFMLML413DGP5P,WA128PSIMT5N,33178,WFMAPPU0029,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,WFMSAG965U1GP,WA128PSIMT5N,33178,WFMAPPU0029,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,WFMSAG960U1GP5P,WA128PSIMT5N,33178,WFMAPPU0039,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,WFMZEZ610DGRCS,WA128PSIMT5N,33178,WFMAPPU0049,GSM,PASTDUE Line Status : RESERVED USED,WFM
New,PHTC128PSIMT5TDP,TF128PSIMT5TD,33178,TCAPP00045ILD,GSM,PASTDUE Line Status : RESERVED USED,TELCEL
New,PHTC128PSIMT5TDP,TF128PSIMT5TD,33178,TCAPP00020ILD,GSM,PASTDUE Line Status : RESERVED USED,TELCEL
