Part Number,SIM,Status,Brand,Option,Pin/Plan,Old Brand,Workforce PIN
STLGL84VC2R,TF256PSIMV9N,New,STRAIGHT_TALK,Add Airtime,STAPP30035,VERIZON,
SMSAG965U1GP5DG,SM128PSIMT5N,New,SIMPLE_MOBILE,Add Airtime,SMNAPP0050BBUNL,AT&T,
SMSAG960U1G,SM128PSIMT5N,New,SIMPLE_MOBILE,Add Airtime,SMNAPP0050BBUNL,AT&T,
SMZEZ610DGR,SM128PSIMT5N,New,SIMPLE_MOBILE,Add Airtime,SMNAPP0050BBUNL,AT&T,
SMAPIXG64SVR5,SM128PSIMT5N,New,SIMPLE_MOBILE,Add Airtime,SMNAPP0050BBUNL,AT&T,
SMZEZ557BGP5ET6,SM128PSIMT5N,New,SIMPLE_MOBILE,Purchase Airtime,SMNAPP0050BBUNL,AT&T,
SMZEZ557BGR,SM128PSIMT5N,New,SIMPLE_MOBILE,Add Airtime,SMNAPP0050BBUNL,AT&T,
SMAPI8G64GYR,SM128PSIMT5N,New,SIMPLE_MOBILE,Add Airtime,SMNAPP0050BBUNL,VERIZON,
SMAPI8PG64SV,SM128PSIMT5N,New,SIMPLE_MOBILE,Add Airtime,SMNAPP0050BBUNL,AT&T,
SMLML413DGP,SM128PSIMT5N,New,SIMPLE_MOBILE,Add Airtime,SMNAPP0050BBUNL,AT&T,
STSAG965U1GRCS,TF128PSIMC4N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,VERIZON,
STSAG965U1CR,TF256PSIMV9N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,AT&T,
STSAG960U1GP4,TF128PSIMC4N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,VERIZON,
STSAG960U1CRCS,TF256PSIMV9N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,AT&T,
STZEZ610DC2R,TF256PSIMV9N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,AT&T,
STZEZ610DG2R7,TF128PSIMC4N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,VERIZON,
STZEZ558VC,TF256PSIMV9N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,AT&T,
STAPIXC64SV2R.2,TF256PSIMV9N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,AT&T,
STAPIXG64SVP4,TF128PSIMC4N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,VERIZON,
STZEZ557BGP5P,TF128PSIMC4N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,VERIZON,
STZEZ557BGP7P,TF128PSIMC4N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,VERIZON,
STHTC122VCP,TF256PSIMV9N,New,STRAIGHT_TALK,Workforce PIN,NTAPPMP00045,SPRINT,STSMPREPLA00045
STAPI8G64GY,TF128PSIMC4N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,VERIZON,
STAPI8C64GY,TF256PSIMV9N,New,STRAIGHT_TALK,AWOP-Supervisor Approval,NTAPPMP00045TR,SPRINT,
STAPI8PG64GY,TF128PSIMC4N,New,STRAIGHT_TALK,Workforce PIN,NTAPPMP00045,AT&T,
STAPI8PC64GY,TF256PSIMV9N,New,STRAIGHT_TALK,Workforce PIN,NTAPPMP00045SA,SPRINT,
STLML413DG2R4,TF128PSIMC4N,New,STRAIGHT_TALK,Add Airtime,NTAPPMP00045,VERIZON,
STLML413DCWHP,TF256PSIMV9N,New,STRAIGHT_TALK,Workforce PIN,NTAPPMP00045,SPRINT,STSMPREPLA00045
NTLGL51AGRCS4,TF128PSIMCL7N,New,NET10,Add Airtime,NTAPPU0065ILD,AT&T,
