Status,PartNumber,SIM,Zip Code,PIN,CellTech,Brand,# Devices,Child 1,ChildSim 1,Child 2,ChildSim 2,Child 3,ChildSim 3
New,STZEZ797C,,33178,NTAPPMP00060ILD,CDMA,STRAIGHT_TALK,,,,,,,
New,STZEZ861BGR4,TF128PSIMC4N,33178,NTAPPMP00045,GSM,STRAIGHT_TALK,,,,,,,
New,STSAG955UCSVWHP,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,,,,,,,
New,STAPI5SG16GDR4,TF128PSIMC4N,33178,NTSMP00045,GSM,STRAIGHT_TALK,,,,,,,
New,STSAS960C,,33178,NTSMP00045,CDMA,STRAIGHT_TALK,,,,,,,
New,STLG329GP4,TF128SIMC4,33178,STAPP20055,GSM,STRAIGHT_TALK,,,,,,,
New,STMTXT937CWHP,,33178,NTSMP00045,CDMA,STRAIGHT_TALK,,,,,,,
New,STZEZ798BGP5,TF128PSIMT5RM,33178,NTAPPMP00060ILD,GSM,STRAIGHT_TALK,,,,,,,
New,PHST128PSIMC4ND,TF128PSIMC4ND,33178,STAPPMB00040,GSM,STRAIGHT_TALK,,,,,,,
New,STALA845GWHP4,TF64PSIMC4,33178,NTSMP00045,GSM,STRAIGHT_TALK,,,,,,,
New,STAPI6G128GDR,TF128PSIMC4N,33178,STAPP30035,GSM,STRAIGHT_TALK,,,,,,,
New,STZEZ836BGP5,TF128PSIMT5N,33178,NTAPPMP00045TR,GSM,STRAIGHT_TALK,,,,,,,
New,STALA394CPWP,,33178,NTAPPMP00060ILD,CDMA,STRAIGHT_TALK,,,,,,,
