PartNumber,SIM,PIN,ZIP,CellTech
PHST64PSIMC4MB,TF128PSIMC4RM,NTAPPMP00045,33178,GSM
PHST64PSIMT5B,TF64PSIMT5B,NTAPPMP00045,33178,GSM
STAPI5SC16GYP,TF128PSIMC4N,STAPP30035,33178,GSM
STZEZ962BGR5,TF128PSIMT5N,NTAPPMP00060ILD,33178,GSM
STZEZ963VCPWP,TF256PSIMV9N,NTAPPMP00045,33178,CDMA
NTLG221CP,,NTAPP6U035,33178,CDMA
NTZEZ716BGP7P,TF128PSIMC4RM,NTAPP6U060,33178,GSM
NTZEZ716BGP5P,TF128PSIMT5RM,NTAPPU0065ILD,33178,GSM
PHNT128PSIMT5N,TF128PSIMT5NB,NTAPPU0065ILD,33178,GSM
PHSM64PSIMT5MB,SM64PSIMT5B,SMNAPP0025TT,33178,GSM
STZEZ750C,,NTPMP00060ILD,33178,CDMA
STHUH258CP,,STNHPAPPUNLILD60,33178,CDMA
NTLGL43AGP4RS,TF128PSIMC4N,NTAPP60060ILDUP,33178,GSM
NTZEZ291DCPFMP,TF256PSIMV9RM,NTAPPMB6020,33178,CDMA
TFLGLRS988VCPFMP,TF256PSIMV9N,TFSAPP1SPH750,33178,CDMA
TFSAS380CTMP,,TSAPP40300,33178,CDMA
