PartNumber,SIM,PIN,ZIP,CellTech,ToPart,ToSim,ToPin
PHSM64PSIMT5MB,SM64PSIMT5B,SMNAPP0025TT,33178,GSM,PHSM64PSIMT5MB,SM64PSIMT5B,SMNAPP0025TT
SMZEZ667GP5AS,SM128PSIMT5RM,SMNAPP30060,33178,GSM,SMZEZ667GP5AS,SM128PSIMT5RM,SMNAPP30060
PHST64PSIMT5B,TF64PSIMT5B,NTAPPMP00045,33178,GSM,PHST64PSIMT5B,TF64PSIMT5B,NTAPPMP00045
NTLGLRS988VC3PWP,TF256PSIMV9N,NTAPPAR6U040,33178,CDMA,NTLGLRS988VC3PWP,TF256PSIMV9N,NTAPPAR6U040
NTZEZ716BGP7P,TF128PSIMC4RM,NTAPP6U060,33178,GSM,NTZEZ716BGP7P,TF128PSIMC4RM,NTAPP6U060
NTZEZ716BGP5P,TF128PSIMT5RM,NTAPPU0065ILD,33178,GSM,NTZEZ716BGP5P,TF128PSIMT5RM,NTAPPU0065ILD
PHNT64PSIMC4MB,TF128PSIMC4RM,NTAPP6U040,33178,GSM,PHNT64PSIMC4MB,TF128PSIMC4RM,NTAPP6U040
PHNT128PSIMT5N,TF128PSIMT5NB,NTAPPU0065ILD,33178,GSM,PHNT128PSIMT5N,TF128PSIMT5NB,NTAPPU0065ILD
PHST64PSIMC4MB,TF64PSIMC4MB,STAPP20055,33178,GSM,PHST64PSIMC4MB,TF64PSIMC4MB,STAPP20055
PHST64PSIMT5B,TF64PSIMT5B,NTAPPMP00045,33178,GSM,PHST64PSIMT5B,TF64PSIMT5B,NTAPPMP00045
STAPI5SC16GYP,TF128PSIMC4N,STAPP30035,33178,GSM,STAPI5SC16GYP,TF128PSIMC4N,STAPP30035
STZEZ962BGR5,TF128PSIMT5N,NTAPPMP00060ILD,33178,GSM,STZEZ962BGR5,TF128PSIMT5N,NTAPPMP00060ILD
STZEZ963VCPWP,TF256PSIMV9N,NTAPPMP00045,33178,CDMA,STZEZ963VCPWP,TF256PSIMV9N,NTAPPMP00045
