PartNumber,SIM,Zip Code,PIN,Amount,CellTech,Brand
PHGS128PSIMT5ND,GS128PSIMT5ND,33178,GSRTRU0025,25,GSM,GO_SMART
PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,GSRTRU0055ILD,55,GSM,GO_SMART
PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,GSRTRU0065ILD,65,GSM,GO_SMART
PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNRTR20025,25,GSM,SIMPLE_MOBILE
PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNRTR20040,40,GSM,SIMPLE_MOBILE
SMZEZ861BGP5SP,SM128PSIMT5N,33178,SMNRTR20040,40,GSM,SIMPLE_MOBILE
SMHUH715BG3P5,SM128PSIMT5N,33178,SMNRTR20050,50,GSM,SIMPLE_MOBILE
TCSAS275G3P5,TF64SIMT5,33178,TCRTR00020ILD,20,GSM,TELCEL
PHTC64PSIMT5BMB,TF64PSIMT5BMB,33178,TCRTR40060ILD,60,GSM,TELCEL
TCLGL53BGDG,TF128PSIMT5N,33178,TCRTR40055ILD,55,GSM,TELCEL
TCHUH715BG3P5,TF128PSIMT5N,33178,TCRTR40060ILD,60,GSM,TELCEL
NTZEZ750CPTGP,,33178,NTRTR30200,20,CDMA,NET10
NTALA383GRCS7,TF64SIMCL7,692,NTRTR6U035,30,GSM,NET10
NTZEZ716BGP7P,TF128PSIMCL7RM,692,NTRTR6U065ILD,65,GSM,NET10
NTLGL62VCPDU,TF256PSIMV9N,33178,NTRTR6U040,40,CDMA,NET10
NTLGL81AGWHP7,TF128PSIMC4N,33178,NTRTR6U050,50,GSM,NET10
NTSAS935DGSVP4P,TF128PSIMC4N,33178,NTRTR6U060,60,GSM,NET10
NTSAS935DCSVPSP,TF256PSIMV9N,33178,NTRTR6U065ILD,65,CDMA,NET10
TFSAS380CTMP,,33178,TFRTR40060,19.99,CDMA,TRACFONE
TFALA564CP,,33178,TFRTR40120,29.99,CDMA,TRACFONE
TFALA460GP5AS,TF128PSIMT5RM,33178,TFRTR40200,39.99,GSM,TRACFONE
TFLG329GR4,TF128SIMC4,33178,TFRTR40450,79.99,GSM,TRACFONE
TFSAS320VCPRS,TF256PSIMV9N,33178,TFRTR1SPH1500,125,CDMA,TRACFONE
TFSAS550TG3P5P,TF128PSIMT5N,33178,TFRTR40060,19.99,GSM,TRACFONE
