PartNumber,SIM,Zip Code,PIN,Amount,CellTech,Brand,Redemption PIN,Redemption Amount
PHGS128PSIMT5ND,GS128PSIMT5ND,33178,GSRTRU0025,25,GSM,GO_SMART,GSRTRU0025,25
PHGS128PSIMT5ND,GS128PSIMT5ND,33178,GSRTRU0035,35,GSM,GO_SMART,GSRTRU0025,25
PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,GSRTRU0035ILD,35,GSM,GO_SMART,GSRTRU0025,25
PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,GSRTRU0045,45,GSM,GO_SMART,GSRTRU0025,25
PHGS128PSIMT5ND,GS128PSIMT5ND,33178,GSRTRU0045ILD,45,GSM,GO_SMART,GSRTRU0025,25
PHGS128PSIMT5ND,GS128PSIMT5ND,33178,GSRTRU0055,55,GSM,GO_SMART,GSRTRU0025,25
PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,GSRTRU0055ILD,55,GSM,GO_SMART,GSRTRU0025,25
PHSMGS128PSIMT5DD,GS128PSIMT5DD,33178,GSRTRU0065ILD,65,GSM,GO_SMART,GSRTRU0025,25
PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNRTR20025,25,GSM,SIMPLE_MOBILE,SMNRTR20040,40
PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNRTR20040,40,GSM,SIMPLE_MOBILE,SMNRTR20050,50
SMALA621BGP5P,TF128PSIMT5RM,33178,SMNRTR0050SDP2,50,GSM,SIMPLE_MOBILE,SMNRTR0075SDP3,75
SMALA570BG3P5P,SM128PSIMT5RM,33178,SMNRTR0075SDP3,75,GSM,SIMPLE_MOBILE,SMNRTR0100SDP4,100
PHSM64PSIMT5B,SM64PSIMT5B,33178,SMNRTR0100SDP4,100,GSM,SIMPLE_MOBILE,SMNRTR20025,25
PHSM64PSIMT5MB,SM64PSIMT5B,33178,SMNRTR20025,25,GSM,SIMPLE_MOBILE,SMNRTR20040,40
SMZEZ861BGP5SP,SM128PSIMT5N,33178,SMNRTR20040,40,GSM,SIMPLE_MOBILE,SMNRTR20050,50
SMHUH715BG3P5,SM128PSIMT5N,33178,SMNRTR20050,50,GSM,SIMPLE_MOBILE,SMNRTR20025,25
TCSAS275G3P5,TF64SIMT5,33178,TCRTR00020ILD,20,GSM,TELCEL,TCRTR40025ILD,25
TCHUH867G3P4,TF64PSIMT5,33178,TCRTR40055ILD,55,GSM,TELCEL,TCRTR40060ILD,60
PHTC64PSIMT5BMB,TF64PSIMT5BMB,33178,TCRTR40060ILD,60,GSM,TELCEL,TCRTR00020ILD,20
TCZEZ828TGP5,TF128PSIMT5N,33178,TCRTR00020ILD,20,GSM,TELCEL,TCRTR40025ILD,25
TCALA570BGP5FMP,TF128PSIMT5RM,33178,TCRTR40025ILD,25,GSM,TELCEL,TCRTR40030ILD,30
NTZEZ750CPTGP,,33178,NTRTR30200,20,CDMA,NET10,NTRTR30300,30
NTALA383GRCS7,TF64SIMCL7,692,NTRTR30300,30,GSM,NET10,NTRTR30600,45
NTAPI6SC16RGP,TF256PSIMV9N,33178,NTRTR30900,60,CDMA,NET10,NTRTR61000,25
NTAPI6SPG16RGWHP,TF128PSIMC4N,33178,NTRTR61000,25,GSM,NET10,NTRTR6U035,35
NTAPI6SPC16GYR,TF256PSIMV9N,33178,NTRTR6U035,35,CDMA,NET10,NTRTR6U040,40
TFALA845G3P4,TF64PSIMC4,33178,TFRTR40200,39.99,GSM,TRACFONE,TFRTR40450,79.99
TFLGL44VCPDG,TF256PSIMV9N,33178,TFRTR40450,79.99,CDMA,TRACFONE,TFRTR4001Y,99.99
TFLGLRS988VCPFMP,TF256PSIMV9N,33178,TFRTR1SPH500,25,CDMA,TRACFONE,TFRTR1SPH750,35
TFLG238CDMPTGP,,33178,TFRTR1SPH750,35,CDMA,TRACFONE,TFRTR1SPH1500,125
TFSAS320VCPRS,TF256PSIMV9N,33178,TFRTR1SPH1500,125,CDMA,TRACFONE,TFRTR40060,19.99
TFLGL53BGP4FMP,TF128PSIMC4N,33178,TFRTR40200,39.99,GSM,TRACFONE,TFRTR40450,79.99
TFSAS120VC3PWP,TF256PSIMV9N,33178,TFRTR40450,79.99,CDMA,TRACFONE,TFRTR40060,19.99
