PartNumber,SIM,Zip Code,PIN,Amount,CellTech,Brand
PHGS128PSIMT5ND,GS128PSIMT5ND,33178,GSRTRU0025,25,GSM,GO_SMART
SMZEZ828TG3P5,SM128PSIMT5N,33178,SMNRTRMB0020,20,GSM,SIMPLE_MOBILE
SMZEZ962BG3P5,TF128PSIMT5N,33178,SMNRTRMB0040,40,GSM,SIMPLE_MOBILE
TCLGL53BGDG,TF128PSIMT5N,33178,TCRTR40055ILD,55,GSM,TELCEL
TCHUH715BG3P5,TF128PSIMT5N,33178,TCRTR40060ILD,60,GSM,TELCEL
NTZEZ750CPTGP,,33178,NTRTR30200,20,CDMA,NET10
NTALA383GRCS7,TF64SIMCL7,692,NTRTR30300,30,GSM,NET10
NTSAS907VCPAS,TF256PSIMV9N,33178,NTRTR30600,45,CDMA,NET10
NTHUH715BGP4,TF128PSIMC4N,33178,NTRTR30900,60,GSM,NET10
NTSAS120VCPSP,TF256PSIMV9N,33178,NTRTR61000,25,CDMA,NET10
