Status,From Brand,To Brand,PartNumber,SIM,PIN,CellTech,Zip,Reason,To PIN
New,NET10,SIMPLE_MOBILE,NTAPI6G128GDP4,TF128PSIMC4N,NTAPP60060ILDUP,CDMA,33178,PASTDUE Line Status : RESERVED USED,TSAPP40450
New,TRACFONE,NET10,GPAPI6SG16GDP4,TF128PSIMC4N,TSAPP40300,CDMA,33178,PASTDUE Line Status : RESERVED USED,NTAPP60060ILDUP
New,TRACFONE,TOTAL_WIRELESS,TFAPI6SC16SVWHP,TF256PSIMV9N,TSAPP40300,CDMA,33178,PASTDUE Line Status : RESERVED USED,TWP00060
New,TOTAL_WIRELESS,STRAIGHT_TALK,GPAPI6SC16SVWHP,TF256PSIMV9N,TWP00060,GSM,33178,PASTDUE Line Status : RESERVED USED,NTAPPMP00045
New,STRAIGHT_TALK,NET10,STAPI6SG16GDP4,TF128PSIMC4N,NTPMP00060ILD,GSM,33178,PASTDUE Line Status : RESERVED USED,NTAPP60060ILDUP
New,NET10,STRAIGHT_TALK,NTAPI6SG16GDP4,TF128PSIMC4N,NTAPP60060ILDUP,GSM,33178,PASTDUE Line Status : RESERVED USED,NTAPPMP00045
New,TRACFONE,STRAIGHT_TALK,TFLG305C,,TSAPP40300,CDMA,33178,PASTDUE Line Status : RESERVED USED,NTAPPMP00045
New,STRAIGHT_TALK,TRACFONE,STLG305C,,STAPP30035,CDMA,33178,PASTDUE Line Status : RESERVED USED,TSAPP40300
New,TRACFONE,NET10,TFLG441G,TF128SIMT5,TSAPP40300,GSM,33178,PASTDUE Line Status : RESERVED USED,NTAPP60060ILDUP
New,STRAIGHT_TALK,NET10,STSAR355C,,NTAPPMP00045,CDMA,33178,PASTDUE Line Status : RESERVED USED,NTAPP60060ILDUP
New,NET10,STRAIGHT_TALK,PHNT64PSIMC4BMB,TF64PSIMC4BMB,NTAPP60060ILDUP,GSM,33178,PASTDUE Line Status : RESERVED USED,NTAPPMP00045
New,STRAIGHT_TALK,NET10,STBYOPVZ,,NTAPPMP00045,CDMA,80120,PASTDUE Line Status : RESERVED USED,NTAPP60060ILDUP
