Brand,Carrier,Is LTE?,Is iPhone?,Cust Have SIM?,Is Active?,NAC,PIN,ESN Type,ZIP,DeviceType,isTrio,IsHd?
NET10,SPRINT,Yes,Yes,Yes,Active,Free,NTAPP6U075,DECIMAL,33178,Phone,Yes,Yes
NET10,SPRINT,Yes,No,Yes,Not Active,Free,NTAPP6U035,HEX,33178,Phone,No,Yes
NET10,SPRINT,No,Yes,No,Active,Free,NTAPP6U060,HEX,33178,Phone,Yes,Yes
NET10,RSS,Yes,No,Yes,Not Active,Free,NTAPPMB6020,DECIMAL,33178,Tablet,No,Yes
NET10,RSS,No,No,Yes,Not Activec,Free,NTAPPMB6030,DECIMAL,33178,Tablet,Yes,No
NET10,RSS,Yes,No,Yes,Not Active,Free,NTAPPMB6050,DECIMAL,33178,Tablet,Yes,No
NET10,RSS,Yes,No,Yes,Not Active,Free,NTAPPMB6010,DECIMAL,33178,Tablet,No,No
NET10,RSS,Yes,Yes,Yes,Not Active,Free,NTAPP6U075,DECIMAL,33178,Phone,No,Yes
NET10,RSS,Yes,No,Yes,Active,Free,NTAPP6U035,HEX,33178,Phone,Yes,Yes
NET10,RSS,Yes,Yes,Yes,Not Active,Free,NTAPP6U075,DECIMAL,33178,Phone,No,Yes
NET10,RSS,Yes,Yes,Yes,Not Active,Free,NTAPPU0065ILD,DECIMAL,33178,Phone,Yes,Yes
NET10,RSS,Yes,No,Yes,Not Active,Free,NTAPP60060ILDUP,DECIMAL,33178,Phone,No,Yes
NET10,RSS,Yes,No,Yes,Not Active,Free,NTAPPU0065ILD,DECIMAL,33178,Phone,No,Yes
NET10,RSS,Yes,No,Yes,Not Active,Free,NTAPP60070ILDUP,DECIMAL,33178,Phone,Yes,Yes
NET10,RSS,Yes,Yes,Yes,Not Active,Free,NTAPP60080ILDUP,DECIMAL,33178,Phone,No,No
NET10,RSS,Yes,Yes,Yes,Not Active,Free,NTAPP60060ILDUP,DECIMAL,33178,Phone,Yes,No
NET10,RSS,Yes,No,Yes,Not Active,Free,NTAPPU0065ILD,DECIMAL,33178,Phone,No,No
NET10,RSS,Yes,No,Yes,Not Active,Free,NTAPP60070ILDUP,DECIMAL,33178,Phone,No,No
NET10,RSS,Yes,No,Yes,Not Active,Free,NTAPP60080ILDUP,DECIMAL,33178,Phone,Yes,No
NET10,RSS,No,No,No,Not Active,Free,NTAPP6U060,DECIMAL,33178,Phone,No,No
NET10,RSS,No,Yes,No,Not Active,Free,NTAPP6U060,DECIMAL,33178,Phone,No,No
TRACFONE,RSS,Yes,Yes,Yes,Not Active,Free,TSAPP40300,DECIMAL,33178,Phone,No,Yes
TRACFONE,RSS,Yes,Yes,Yes,Active,Free,TSAPP40200,HEX,33178,Phone,Yes,Yes
TRACFONE,RSS,Yes,No,Yes,Not Active,Free,TSAPP40060,DECIMAL,33178,Phone,No,Yes
TRACFONE,RSS,Yes,No,Yes,Not Active,Free,TSAPP40120,DECIMAL,33178,Phone,No,Yes
TRACFONE,RSS,Yes,No,Yes,Not Active,Free,TSAPP40300,DECIMAL,33178,Phone,Yes,Yes
TRACFONE,RSS,Yes,Yes,Yes,Not Active,Free,TFSAPP1SPH500,DECIMAL,33178,Phone,No,No
TRACFONE,RSS,Yes,Yes,Yes,Not Active,Free,TSAPP40060,DECIMAL,33178,Phone,Yes,No
TRACFONE,RSS,Yes,No,Yes,Not Active,Free,TSAPP40120,DECIMAL,33178,Phone,No,No
TRACFONE,RSS,Yes,No,Yes,Not Active,Free,TSAPP40120,DECIMAL,33178,Phone,No,No
TRACFONE,RSS,Yes,No,Yes,Not Active,Free,TSAPP40300,DECIMAL,33178,Phone,Yes,No
TRACFONE,RSS,No,No,No,Not Active,Free,TFSAPP1SPH500,HEX,33178,Phone,No,No
TRACFONE,RSS,No,Yes,No,Not Active,Free,TFSAPP1SPH500,DECIMAL,33178,Phone,No,No
STRAIGHT_TALK,RSS,Yes,No,Yes,Not Active,Free,STAPPMB00025,DECIMAL,33178,Tablet,Yes,No
STRAIGHT_TALK,RSS,Yes,No,Yes,Not Active,Free,STAPPMB00025,DECIMAL,33178,Tablet,Yes,No
STRAIGHT_TALK,RSS,No,No,No,Not Active,Free,STAPPMB00050,DECIMAL,33178,Tablet,Yes,No
STRAIGHT_TALK,RSS,Yes,Yes,Yes,Not Active,Free,NTAPPMP00045TR,DECIMAL,33178,Phone,No,No
STRAIGHT_TALK,RSS,Yes,Yes,Yes,Not Active,Free,NTAPPMP00045,DECIMAL,33178,Phone,No,Yes
STRAIGHT_TALK,RSS,Yes,Yes,Yes,Not Active,Free,NTAPPMP00045TR,DECIMAL,33178,Phone,Yes,Yes
STRAIGHT_TALK,RSS,Yes,No,Yes,Not Active,Free,NTAPPMP000451Y,DECIMAL,33178,Phone,No,Yes
STRAIGHT_TALK,RSS,Yes,No,Yes,Not Active,Free,NTAPPMP00045SA,DECIMAL,33178,Phone,No,Yes
STRAIGHT_TALK,RSS,Yes,No,Yes,Not Active,Free,STAPP20055,DECIMAL,33178,Phone,Yes,Yes
STRAIGHT_TALK,RSS,Yes,Yes,Yes,Not Active,Free,STAPP30035,DECIMAL,33178,Phone,No,No
STRAIGHT_TALK,RSS,Yes,Yes,Yes,Not Active,Free,NTAPPMP00060ILD,DECIMAL,33178,Phone,Yes,No
STRAIGHT_TALK,RSS,Yes,No,Yes,Not Active,Free,NTAPPMP00045TR,DECIMAL,33178,Phone,No,No
STRAIGHT_TALK,RSS,Yes,No,Yes,Not Active,Free,NTAPPMP000451Y,DECIMAL,33178,Phone,No,No
STRAIGHT_TALK,RSS,Yes,No,Yes,Not Active,Free,NTAPPMP00045SA,DECIMAL,33178,Phone,Yes,No
STRAIGHT_TALK,RSS,No,No,No,Not Active,Free,STAPP20055,DECIMAL,33178,Phone,No,No
STRAIGHT_TALK,RSS,No,Yes,No,Not Active,Free,STAPP30035,DECIMAL,33178,Phone,No,No
