Brand,Carrier,Is LTE?,Is iPhone?,Cust. have SIM?,Is Active?,ESN Type,NAC,ZIP,Is LTE(TO)?,Is iPhone(TO)?,Cust. have SIM(TO)?,ESN Type(To),isTrio
NET10,SPRINT,Yes,No,No,Not Active,HEX,NTBYOPVZP,33178,No,No,No,DECIMAL,Yes
NET10,SPRINT,No,Yes,No,Not Active,HEX,NTBYOPVZP,33178,No,Yes,No,DECIMAL,No
NET10,SPRINT,No,No,No,Not Active,HEX,NTBYOPVZP,33178,Yes,No,No,HEX,Yes
STRAIGHT_TALK,SPRINT,Yes,No,No,Not Active,HEX,STBYOPVZP,33178,No,No,No,HEX,No
STRAIGHT_TALK,SPRINT,No,Yes,No,Not Active,HEX,STBYOPVZP,33178,No,Yes,No,DECIMAL,Yes
STRAIGHT_TALK,SPRINT,No,No,No,Not Active,HEX,STBYOPVZP,33178,Yes,No,No,DECIMAL,No
NET10,RSS,No,No,No,Not Active,HEX,NTBYOPVZP,33178,No,No,No,HEX,Yes
NET10,RSS,No,No,No,Not Active,HEX,NTBYOPVZP,33178,No,No,No,DECIMAL,Yes
STRAIGHT_TALK,RSS,No,No,No,Not Active,HEX,STBYOPVZP,33178,No,No,No,HEX,No
STRAIGHT_TALK,RSS,No,No,No,Not Active,HEX,STBYOPVZP,33178,No,No,No,DECIMAL,Yes
TELCEL,RSS,No,No,No,Not Active,HEX,TCBYOPVZP,33178,No,No,No,HEX,No
