PartNumber,Status,SIM,Lid,Tech,Dealer,Type,Model,Version
PHNT128PSIMT5DD,New,TF128PSIMT5DD,16032668,GSM,USAC-DEALER,OPERATING SYSTEM,Android,Android 1.6 - 2.3.4
PHNT128PSIMC4NB,New,TF128PSIMC4NB,,GSM,USAC-DEALER,OPERATING SYSTEM,Android,Google Nexus One S - Android 2.3
PHTF128PSIMC4D,New,TF128PSIMC4DD,,GSM,USAC-DEALER,OPERATING SYSTEM,Android,Android 4.0
PHTF128PSIMC4N,New,TF128PSIMC4N,,GSM,USAC-DEALER,OPERATING SYSTEM,Android,Other
PHNT128PSIMT5DD,New,TF128PSIMT5DD,,GSM,USAC-DEALER,OPERATING SYSTEM,IOS,iPhone or iPad (iOS 6 or later)
PHNT128PSIMC4NB,New,TF128PSIMC4NB,,GSM,USAC-DEALER,OPERATING SYSTEM,IOS,iPhone or iPad (iOS 5 or previous)
PHTF128PSIMC4D,New,TF128PSIMC4DD,,GSM,USAC-DEALER,OPERATING SYSTEM,IOS,Other
PHTF128PSIMC4N,New,TF128PSIMC4N,,GSM,USAC-DEALER,OPERATING SYSTEM,Blackberry,Blackberry
PHNT128PSIMT5DD,New,TF128PSIMT5DD,,GSM,USAC-DEALER,OPERATING SYSTEM,Blackberry,Other
PHNT128PSIMC4NB,New,TF128PSIMC4NB,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Apple,iPhone or iPad (iOS 5 or previous)
PHTF128PSIMC4D,New,TF128PSIMC4DD,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Apple,iPhone or iPad (iOS 6 or later)
PHTF128PSIMC4N,New,TF128PSIMC4N,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Apple,Other
PHNT128PSIMT5DD,New,TF128PSIMT5DD,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Blackberry,Blackberry
PHNT128PSIMC4NB,New,TF128PSIMC4NB,46274745,GSM,USAC-DEALER,HANDSET MANUFACTURER,Blackberry,Other
PHTF128PSIMC4D,New,TF128PSIMC4DD,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Dell,Other
PHTF128PSIMC4N,New,TF128PSIMC4N,,GSM,USAC-SL-FIELD,HANDSET MANUFACTURER,Google,Other
PHNT128PSIMT5DD,New,TF128PSIMT5DD,,GSM,USAC-SL-FIELD,HANDSET MANUFACTURER,HTC,Other
PHNT128PSIMC4NB,New,TF128PSIMC4NB,,GSM,USAC-SL-FIELD,HANDSET MANUFACTURER,Motorola,Motorola RAZR v3
PHTF128PSIMC4D,New,TF128PSIMC4DD,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Motorola,Other
PHTF128PSIMC4N,New,TF128PSIMC4N,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Nokia,Nokia Devices
PHNT128PSIMT5DD,New,TF128PSIMT5DD,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Nokia,Other
PHNT128PSIMC4NB,New,TF128PSIMC4NB,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Samsung,Samsung Galaxy Tab 2 10.1
PHTF128PSIMC4D,New,TF128PSIMC4DD,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Samsung,Samsung T-Series Phones
PHTF128PSIMC4N,New,TF128PSIMC4N,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Samsung,Samsung A-Series Phones
PHNT128PSIMT5DD,New,TF128PSIMT5DD,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Samsung,Other
PHNT128PSIMC4NB,New,TF128PSIMC4NB,,GSM,USAC-DEALER,HANDSET MANUFACTURER,Other,Other
