From part,From sim,LID,Dealer,From tech,To esn,To sim,To Tech,Zip,To status,Min Transfer
NTZEZ799VCCALLEP,TF256PSIMV9RM,34291329,USAC-DEALER,CDMA,NTZEZ716BGCALLE2R5,TF128PSIMT5RM,GSM,33178,New,Yes
TFZEZ799VCLLER,TF256PSIMV9RM,46419298,USAC-DEALER,CDMA,TFZEZ799VCLLER,TF256PSIMV9RM,CDMA,33178,New,Yes
NTLGL59BGCALLER,TF128PSIMT5N,23864263,USAC-DEALER,GSM,NTZEZ716BGCALLE2R5,TF128PSIMT5RM,GSM,33178,New,Yes
TFLGL59BGP4LLDM,TF128PSIMC4N,35346155,USAC-DEALER,GSM,TFALA463BGLLEP5,TF128PSIMT5RM,GSM,33178,New,Yes
TFLGL59BGLLER7,TF128PSIMCL7N,64690640,USAC-DEALER,GSM,TFZEZ717VCLLEP,TF256PSIMV9RM,CDMA,692,New,Yes
TFLGL63BGLLER7,TF128PSIMCL7N,60280731,USAC-DEALER,GSM,TFZEZ717VCLLEP,TF256PSIMV9RM,CDMA,692,New,Yes
TFLGL63BGLLE2R4,TF128PSIMC4N,73558409,USAC-DEALER,GSM,TFLG329GLLER4,TF128SIMC4,GSM,33178,New,Yes
NTLGL63BGCALLEP5,TF128PSIMT5N,23915350,USAC-DEALER,GSM,NTZEZ716BGCALLE2R5,TF128PSIMT5RM,GSM,33178,New,Yes
TFLG329GLLER4,TF128SIMC4,,USAC-DEALER,GSM,TFZEZ233VCGYPLLDM,TF256PSIMV9RM,CDMA,33178,New,Yes
TFLG328BGLLEP5,TF128SIMT5,,USAC-DEALER,GSM,TFLGL21GLLE2R4,TF128PSIMT5RM,GSM,33178,New,Yes
TFALA463BGLLEP5,TF128PSIMT5RM,,USAC-DEALER,GSM,TFLGL48VCPLLDM,TF256PSIMV9N,CDMA,33178,New,Yes
TFZEZ717VCLLEP,TF256PSIMV9RM,,USAC-DEALER,CDMA,TFLGL57BGP4LLDM,TF128PSIMC4N,GSM,33178,New,Yes
TFZEZ717VCLLEP,TF256PSIMV9RM,,USAC-DEALER,CDMA,TFLGL58VCPLLDM,TF256PSIMV9N,CDMA,33178,New,Yes
TFLG329GLLER4,TF128SIMC4,,USAC-DEALER,GSM,TFZEZ716BGLLE2R5,TF128PSIMT5RM,GSM,33178,New,Yes
TFLG328BGLLEP5,TF128SIMT5,,USAC-DEALER,GSM,NTZEZ716BGCALLE2R5,TF128PSIMT5RM,GSM,33178,New,Yes
TFLG329GLLER4,TF128SIMC4,28123033,USAC-DEALER,GSM,TFZEZ717VCLLEP,TF256PSIMV9RM,CDMA,33178,New,Yes
TFLG328BGLLEP5,TF128SIMT5,45679367,USAC-DEALER,GSM,TFSAS906CP,TF256PSIMV9N,CDMA,33178,New,Yes
TFALA463BGLLEP5,TF128PSIMT5RM,45679367,USAC-DEALER,GSM,PHTF128PSIMC4D,TF128PSIMC4DD,GSM,33178,New,Yes
TFZEZ717VCLLEP,TF256PSIMV9RM,4086650,USAC-DEALER,CDMA,PHTF128PSIMC4N,TF128PSIMC4N,GSM,33178,New,Yes
