From Part,Form SIM,From PIN,From Tech,Zip,# Devices,Child,ChildSim,Upgrade For?,Brand,To Status,To Part,To SIM,To Tech,To PIN,Flash
SMZEZ828TG3P5,SM128PSIMT5N,SMNAPP0025TT,GSM,33178,,,,,SIMPLE_MOBILE,New,SMAPISEG16GD,SM128PSIMT5N,GSM,SMNAPP0025TT,Cold
SMZEZ828TG3P5,SM128PSIMT5N,SMNAPP0025TT,GSM,33178,,,,,SIMPLE_MOBILE,New,SMAPI6SG16GD,SM128PSIMT5N,GSM,SMNAPP0040UNL,Hot
TWLG236CR,,TWP00060,CDMA,33178,1,,,,TOTAL_WIRELESS,New,TWAPI5SC16SVP,TF256PSIMV9N,CDMA,,
TWSAS968C,,TWP00060,CDMA,33178,2,TWSAS968C,,Child,TOTAL_WIRELESS,New,TWSAS968C,,CDMA,,
TWLG236CR,,TWAPP00085,CDMA,33178,2,TWZEZ819CPWP,TF256PSIMV9RM,child,TOTAL_WIRELESS,New,GPLGLRS988VCPDU,TF256PSIMV9N,CDMA,,
TWZEZ819CPWP,TF256PSIMV9RM,TWP00060,CDMA,33178,1,,,,TOTAL_WIRELESS,New,GPHUH1511DCDG,TF256PSIMV9N,CDMA,,
STSAS765CRCS,,NTNMP00045,CDMA,33178,,,,,STRAIGHT_TALK,PastDue,STLG305C,,CDMA,NTNMP00045,
STLGL25C,TF128PSIMS8M,NTAPPMP00045SA,CDMA,33178,,,,,STRAIGHT_TALK,Active,STZEZ752CR,,CDMA,NTNMP00045,
STLG329GR,TF64SIMCL7,NTAPPMP000451Y,GSM,692,,,,,STRAIGHT_TALK,New,STZEZ716BGRCS7,TF128PSIMCL7RM,GSM,,
TCZEZ768GP5,TF64PSIMT5,TCAPP00040ILD,GSM,33178,,,,,TELCEL,New,TCZEZ716BGP5P,TF128PSIMT5RM,GSM,,Hot
TCZEZ660GP5,TF64PSIMT5,TCAPP00060ILD,GSM,33178,,,,,TELCEL,New,TCALA621BGP5AS,TF128PSIMT5RM,GSM,,Cold
TCZEZ768GP5,TF64PSIMT5,TCAPP00055ILD,GSM,33178,,,,,TELCEL,New,TCALA570BGP5,TF128PSIMT5RM,GSM,,
NTLG306GP4SOP,TF64SIMT5,NTAPP6U060,GSM,33178,,,,,NET10,Active,NTLGL22CPTGP,,CDMA,NTPU0001,
NTALA845GP4,TF64PSIMC4,NTPU0001,GSM,33178,,,,,NET10,Active,NTLGL17AGP4DU,TF128PSIMC4RM,GSM,NTPU0001,
NTLG329GRCS7,TF64SIMCL7,NTAPP6U040,GSM,692,,,,,NET10,New,NTLGL43AGRCS7,TF128PSIMCL7N,GSM,,
NTLGL43AGRCS7,TF128PSIMCL7N,NTAPP6U040,GSM,692,,,,,NET10,New,NTLG329GRCS7,TF64SIMCL7,GSM,,
TFMTXT830CPMP,,TSAPP4001Y,CDMA,33178,,,,,TRACFONE,New,TFZEZ753GP4,TF64PSIMC4RM,GSM,,Cold
TFLG236CWHP,,TSAPP40300,CDMA,33178,,,,,TRACFONE,New,TFLG441GWHP,TF128SIMC4,GSM,,
TFALA460GP,TF64PSIMC4RM,TSAPP40060,GSM,33178,,,,,TRACFONE,New,TF3GCPOAI5SGP5,TF128PSIMT5N,GSM,,
