Status,PartNumber,SIM,Zip Code,PIN,CellTech,Brand,# Devices
New,STSAG955UCGY,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,
New,STSAG950UCGY,TF256PSIMV9N,33178,NTAPPMP00045SA,CDMA,STRAIGHT_TALK,
New,STZEZ750C,,33178,NTNMP00045,CDMA,STRAIGHT_TALK,
New,STLG306GWHP,TF128SIMT5,33178,STAPP01500,GSM,STRAIGHT_TALK,
New,STHUH892CP,TF256PSIMV9RM,33178,STAPP30035,CDMA,STRAIGHT_TALK,
New,STSAS327VC,TF256PSIMV9N,33178,NTAPPMP00060ILD,CDMA,STRAIGHT_TALK,
New,STSAS727VC,TF256PSIMV9N,33178,STAPP20055,CDMA,STRAIGHT_TALK,
New,STZEZ986DGP5,TF128PSIMT5N,33178,NTAPPMP00045TR,GSM,STRAIGHT_TALK,
New,STZEZ986DGP7,TF128PSIMCL7N,692,NTAPPMP00045SA,GSM,STRAIGHT_TALK,
New,STZEZ986DC,TF256PSIMV9N,33178,NTAPPMP000451Y,CDMA,STRAIGHT_TALK,
