Status,PartNumber,SIM,Zip Code,PIN,CellTech,Brand,# Devices,Child 1,ChildSim 1,Child 2,ChildSim 2,Child 3,ChildSim 3
New,STAPI5CG16GNP,TF128PSIMC4N,33178,NTAPPMP00045SA,GSM,STRAIGHT_TALK,,,,,,,
New,STSAR355CP,,33178,NTPMP02999,CDMA,STRAIGHT_TALK,,,,,,,
New,STNKE5GP4,TF64PSIMC4,33178,STAPP30035,GSM,STRAIGHT_TALK,,,,,,,
New,STALA383G,TF64SIMC4,33178,NTPMP00060ILD,GSM,STRAIGHT_TALK,,,,,,,
New,STLG305C,,33178,STAPP01500,CDMA,STRAIGHT_TALK,,,,,,,
New,STLGL31G,TF64PSIMC4RM,33178,NTAPPMP00045,GSM,STRAIGHT_TALK,,,,,,,
New,STLGL41CR,,33178,NTAPPMP00045SA,CDMA,STRAIGHT_TALK,,,,,,,
New,STZEZ752CWHP,,33178,NTNMP00045,CDMA,STRAIGHT_TALK,,,,,,,
New,STLCPOAMOTXCP,TF256PSIMV9N,33178,NTAPPMP00045,CDMA,STRAIGHT_TALK,,,,,,,
New,STAPI6SG16GYP4P,TF128PSIMC4N,33178,NTAPPMP000451Y,GSM,STRAIGHT_TALK,,,,,,,
