Brand,PartNumber,ZipCode,PIN,Payment Type,#Devices,Child1,ChildSim1,Child2,ChildSim2,Child3,ChildSim3,CarD Type,CVV,Cell Tech,IsLTE?,IsIphone?,CustHavSim?,IsTrio?,IsHd?
TOTAL_WIRELESS,BYOD,33178,TWAPP00110,One-Time,1,,,,,,,Visa,123,CDMA,No,No,No,No,No
TOTAL_WIRELESS,BYOD,33178,TWAPP00110,One-Time,1,,,,,,,Visa,123,CDMA,No,No,No,No,No
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,One-Time,1,,,,,,,Visa,123,CDMA,Yes,Yes,Yes,No,Yes
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,One-Time,1,,,,,,,Visa,123,CDMA,Yes,Yes,Yes,Yes,Yes
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,Reoccuring,1,,,,,,,Discover,123,CDMA,Yes,No,Yes,No,Yes
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,One-Time,1,,,,,,,Discover,123,CDMA,Yes,No,Yes,No,Yes
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,Reoccuring,1,,,,,,,Visa,123,CDMA,Yes,No,Yes,Yes,Yes
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,One-Time,1,,,,,,,Discover,123,CDMA,Yes,Yes,Yes,No,No
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,One-Time,1,,,,,,,Discover,123,CDMA,Yes,Yes,Yes,Yes,No
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,Reoccuring,1,,,,,,,Discover,123,CDMA,Yes,No,Yes,No,No
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,One-Time,1,,,,,,,Visa,123,CDMA,Yes,No,Yes,No,No
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,Reoccuring,1,,,,,,,Discover,123,CDMA,Yes,No,Yes,Yes,No
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,One-Time,1,,,,,,,Visa,123,CDMA,No,No,No,No,No
TOTAL_WIRELESS,BYOP,33178,TWAPP00110,Reoccuring,1,,,,,,,Discover,123,CDMA,No,Yes,No,No,No
