Brand,Part Number,ZipCode,PIN,NAC,#Devices,Child1,ChildSim1,Child2,ChildSim2,Child3,ChildSim3,Card Type,Cell Tech,IsLTE?,IsIphone?,CustHavSim?,IsTrio?,IsHd?
TOTAL_WIRELESS,BYOP,33178,TWN00110,Free,4,TWLGL16CPWP,,TWZEZ752CP,,TWSAS766CR,,Visa,CDMA,Yes,Yes,Yes,No,Yes
TOTAL_WIRELESS,BYOP,33178,TWN00110,Free,2,TWLGL16CR,,,,,,Visa,CDMA,Yes,No,Yes,No,Yes
TOTAL_WIRELESS,BYODHEX,33178,TWN00110,Free,4,TWALA564C,,TWUXU240CPWP,,TWALA564C,,Visa,CDMA,Yes,No,Yes,No,No
TOTAL_WIRELESS,BYOPHEX,33178,TWN00085,Free,3,TWALA564C,,TWALA564C,,,,Visa,CDMA,Yes,No,Yes,No,No
TOTAL_WIRELESS,BYOD,33178,TWN00035,Free,1,,,,,,,Visa,CDMA,No,No,No,No,No
TOTAL_WIRELESS,BYOD,33178,TWN00060,Free,2,TWSAS766CR,,,,,,Visa,CDMA,No,No,No,No,No
TOTAL_WIRELESS,BYOP,33178,TWN00110,Free,1,,,,,,,Visa,CDMA,Yes,Yes,Yes,No,Yes
TOTAL_WIRELESS,BYOP,33178,TWN00085,Free,1,,,,,,,Visa,CDMA,Yes,Yes,Yes,Yes,Yes
TOTAL_WIRELESS,BYOP,33178,TWN00060,Free,1,,,,,,,Visa,CDMA,Yes,No,Yes,No,Yes
TOTAL_WIRELESS,BYOP,33178,TWN00035,Free,1,,,,,,,Visa,CDMA,Yes,No,Yes,No,Yes
TOTAL_WIRELESS,BYOP,33178,TWN00060,Free,1,,,,,,,Visa,CDMA,Yes,No,Yes,Yes,Yes
TOTAL_WIRELESS,BYOP,33178,TWN00060,Free,1,,,,,,,Visa,CDMA,Yes,Yes,Yes,No,No
TOTAL_WIRELESS,BYOP,33178,TWN00110,Free,1,,,,,,,Visa,CDMA,Yes,Yes,Yes,Yes,No
TOTAL_WIRELESS,BYOP,33178,TWN00085,Free,1,,,,,,,Visa,CDMA,Yes,No,Yes,No,No
TOTAL_WIRELESS,BYOP,33178,TWN00060,Free,1,,,,,,,Visa,CDMA,Yes,No,Yes,No,No
TOTAL_WIRELESS,BYOP,33178,TWN00035,Free,1,,,,,,,Visa,CDMA,Yes,No,Yes,Yes,No
TOTAL_WIRELESS,BYOP,33178,TWN00060,Free,1,,,,,,,Visa,CDMA,No,No,No,No,No
TOTAL_WIRELESS,BYOP,33178,TWN00060,Free,1,,,,,,,Visa,CDMA,No,Yes,No,No,No
