ESN,Sim,Pin,ZipCode,FlowName,Status,Pin2,FlowName2,CellTech,Brand,Lines,ESN2,ESN3,ESN4,SIM2,SIM3,ESN5,SIM5,SIM4,SourceSystem
TWMTXT830CP,,TWAPP00035,33178,ACTIVATION,New,TWAPP00060,REACTIVATION,CDMA,TOTAL_WIRELESS,1,,,,,,,,,API
TWMTXT830CP,,TWAPP00035,33178,ACTIVATION,New,TWAPP00060,REACTIVATION_WENROLLMENT,CDMA,TOTAL_WIRELESS,1,,,,,,,,,API
TWMTXT830CP,,TWAPP00085,33178,ACTIVATION,New,TWN00110,REACTIVATION,CDMA,TOTAL_WIRELESS,1,,,,,,,,,WARP
TWLGL82VCR,TF256PSIMV9N,TWN00110,33178,ACTIVATION,New,TWN00110,REACTIVATION,CDMA,TOTAL_WIRELESS,1,,,,,,,,,API
TWLGL82VCR,TF256PSIMV9N,TWN00110,33178,ACTIVATION,New,TWAPP00060,REACTIVATION,CDMA,TOTAL_WIRELESS,1,,,,,,,,,WARP
BYOP_LTE_APL_VZW,TF256PSIMV9ND,TWN00110,33178,ACTIVATION,New,TWAPP00085,REACTIVATION,CDMA,TOTAL_WIRELESS,1,,,,,,,,,API
BYOP_NONLTE_SAM_VZW,,TWAPP00025,33178,ACTIVATION,New,TWAPP00035,REACTIVATION,CDMA,TOTAL_WIRELESS,1,,,,,,,,,API
BYOP_LTE_APL_VZW,TF256PSIMV9ND,TWAPP00035,33178,ACTIVATION,New,TWAPP00060,REACTIVATION,CDMA,TOTAL_WIRELESS,1,,,,,,,,,WARP
BYOP_NONLTE_SAM_VZW,,TWAPP00060,33178,ACTIVATION,New,TWAPP00085,REACTIVATION,CDMA,TOTAL_WIRELESS,1,,,,,,,,,WARP
STALA571VCPWP,TF256PSIMV9RM,NTAPPMP00045,33178,ACTIVATION,New,NTAPPMP00045,REACTIVATION,CDMA,STRAIGHT_TALK,1,,,,,,,,,WARP
STALA571VCPWP,TF256PSIMV9RM,NTAPPMP00045,33178,ACTIVATION,New,NTAPPMP00045,REACTIVATION_WENROLLMENT,CDMA,STRAIGHT_TALK,1,,,,,,,,,WARP
WFMZEZ836BGP5P,WFM128PSIMT5TM,,33178,ACTIVATION,New,,REACTIVATION,GSM,WFM,3,WFMLGL57BGP,WFMZEZ836BGP5P,,WFM128PSIMT5TM,WFM128PSIMT5TM,,,,WARP
PHWFM128PSIMT5TD,WFM128PSIMT5TD,,33178,ACTIVATION,New,,REACTIVATION,GSM,WFM,4,WFMLGL57BGP,WFMZEZ232TGP5,WFMLGL83BGWHP,WFM128PSIMT5TM,WFM128PSIMT5TM,,,WFM128PSIMT5TM,WARP
WFMZEZ986DGP,WFM128PSIMT5TM,,33178,ACTIVATION,New,,REACTIVATION,GSM,WFM,2,PHWFM128PSIMT5TD,,,WFM128PSIMT5TD,,,,,WARP
WFMZEZ232TGP5,WFM128PSIMT5TM,,33178,ACTIVATION,New,,REACTIVATION,GSM,WFM,1,,,,,,,,,WARP
WFMZEZ232TGP5,WFM128PSIMT5TM,,33178,ACTIVATION,New,,REACTIVATION_WENROLLMENT,GSM,WFM,1,,,,,,,,,WARP
WFMLGL83BGWHP,WFM128PSIMT5TM,,33178,ACTIVATION,New,,REACTIVATION,GSM,WFM,5,WFMZEZ836BGP5P,PHWFM128PSIMT5TD,WFMZEZ986DGP,WFM128PSIMT5TM,WFM128PSIMT5TD,WFMZEZ232TGP5,WFM128PSIMT5TM,WFM128PSIMT5TM,WARP
