ESN Part,SIM,Cell Tech,Brand,Pin,ZipCode,Status,lines,ESN2,ESN3,To ESN,SIM2,SIM3,To SIM,Upgrade PIN,From FlowName,SourceSystem
TWMTXT830CP,,CDMA,TOTAL_WIRELESS,TWAPP00035,33178,New,1,,,TWLGL82VCR,,,TF256PSIMV9N,,ACTIVATION,API
TWMTXT830CP,,CDMA,TOTAL_WIRELESS,TWAPP00035,33178,New,1,,,TWLGL158VCDG,,,TF256PSIMV9N,,ACTIVATION_WENROLLMENT,API
TWMTXT830CP,,CDMA,TOTAL_WIRELESS,TWAPP00085,33178,New,1,,,BYOP_LTE_APL_VZW,,,TF256PSIMV9ND,,ACTIVATION,WARP
TWLGL82VCR,TF256PSIMV9N,CDMA,TOTAL_WIRELESS,TWN00110,33178,New,1,,,TWMTXT830CP,,,,,ACTIVATION,API
TWLGL82VCR,TF256PSIMV9N,CDMA,TOTAL_WIRELESS,TWN00110,33178,New,1,,,BYOP_NONLTE_SAM_VZW,,,,,ACTIVATION,WARP
BYOP_LTE_APL_VZW,TF256PSIMV9ND,CDMA,TOTAL_WIRELESS,TWN00110,33178,New,1,,,TWLGL82VCR,,,TF256PSIMV9N,,ACTIVATION,API
BYOP_NONLTE_SAM_VZW,,CDMA,TOTAL_WIRELESS,TWAPP00025,33178,New,1,,,BYOP_LTE_SAM_VZW,,,TF256PSIMV9DD,,ACTIVATION,API
BYOP_LTE_APL_VZW,TF256PSIMV9ND,CDMA,TOTAL_WIRELESS,TWAPP00035,33178,New,1,,,BYOP_LTE_SAM_VZW,,,TF256PSIMV9DD,,ACTIVATION,WARP
BYOP_NONLTE_SAM_VZW,,CDMA,TOTAL_WIRELESS,TWAPP00060,33178,New,1,,,TWMTXT830CP,,,,,,
STALA621BGR4,TF128PSIMT5RM,GSM,STRAIGHT_TALK,NTAPPMP00045,33178,New,1,,,STALA621BGR4,,,TF128PSIMT5RM,,ACTIVATION,WARP
STALA621BGR4,TF128PSIMT5RM,GSM,STRAIGHT_TALK,NTAPPMP00045,33178,New,1,,,STALA621BGR4,,,TF128PSIMT5RM,,ACTIVATION_WENROLLMENT,WARP
STALA571VCPWP,TF256PSIMV9RM,GSM,STRAIGHT_TALK,STAPP30035,33178,New,1,,,STALA621BGR4,,,TF128PSIMT5RM,,ACTIVATION,WARP
STLG305C,,CDMA,STRAIGHT_TALK,STAPP01500,33178,New,1,,,STALA621BGR4,,,TF128PSIMT5RM,NTAPPMP00045,ACTIVATION,WARP
STAVV10GP,JASPER2FF,GSM,STRAIGHT_TALK,STAPPCC0001M,33178,New,1,,,STLG305C,,,,NTAPPMP00045,ACTIVATION_WENROLLMENT,WARP
GPAPI6SG16GDP4,TF128PSIMC4N,GSM,STRAIGHT_TALK,NTAPPMP00045,33178,New,1,,,STALA571VCPWP,,,TF256PSIMV9RM,,ACTIVATION,WARP
GPAPI6SG16GDP4,TF128PSIMC4N,GSM,STRAIGHT_TALK,NTAPPMP00045,33178,New,1,,,SIMOUT_MKRJ2LL/A,,,TF256PSIMV9N,,ACTIVATION,WARP
STLG305C,,CDMA,STRAIGHT_TALK,STAPP01500,33178,New,1,,,BYOP_LTE_APL_VZW,,,TF256PSIMV9ND,NTAPPMP00045,ACTIVATION_WENROLLMENT,WARP
STZEZ291DGWHP5,TF128PSIMT5RM,GSM,STRAIGHT_TALK,NTAPPMP00045,33178,New,1,,,BYOP_NONLTE_SAM_VZW,,,,,ACTIVATION,WARP
STZEZ750C,,CDMA,STRAIGHT_TALK,NTAPPMP00045,33178,New,1,,,BYOP_LTE_APL_SPT,,,TFSIMSLTEBYOP,,ACTIVATION,WARP
STLG329GR5,TF128SIMT5,GSM,STRAIGHT_TALK,NTAPPMP00045,33178,New,1,,,BYOP_NONLTE_SAM_SPT,,,,,ACTIVATION,WARP
STZEZ750C,,CDMA,STRAIGHT_TALK,NTAPPMP00045,33178,New,1,,,BYOP_LTE_APL_VZW,,,TF256PSIMV9ND,,ACTIVATION,WARP
STZEZ750C,,CDMA,STRAIGHT_TALK,NTAPPMP00045,33178,New,1,,,SIMOUT_MKRJ2LL/A,,,TF256PSIMV9N,,ACTIVATION_WENROLLMENT,WARP
WFMLGL57BGP,WFM128PSIMT5TM,GSM,WFM,,33178,New,1,,,WFMLGL57BGP,,,WFM128PSIMT5TM,,ACTIVATION,WARP
WFMLGL57BGP,WFM128PSIMT5TM,GSM,WFM,,33178,New,1,,,WFMLGL57BGP,,,WFM128PSIMT5TM,,ACTIVATION_WENROLLMENT,WARP
