Brand,PartNumber,SIM,PIN,ZipCode,FlowName,FromBrand,FromPart,FromSim,FromPin,CellTech,FromZip,SourceSystem
TOTAL_WIRELESS,TWMTXT830CP,,TWAPP00035,33178,Internal_port,SIMPLE_MOBILE,SMALA576BGP,SM128PSIMT5N,SMNAPP30060,GSM,33178,API
TOTAL_WIRELESS,TWMTXT830CP,,TWAPP00035,33178,Internal_port_WENROLLMENT,NET10,NTSAS921AGRCS4,TF128PSIMC4RM,NTAPPU0001,GSM,33178,API
TOTAL_WIRELESS,TWMTXT830CP,,TWAPP00085,33178,Internal_port,TRACFONE,TFLGL52VCPAS,TF256PSIMV9N,TSAPP40060,CDMA,33178,WARP
TOTAL_WIRELESS,TWLGL82VCR,TF256PSIMV9N,TWN00110,33178,Internal_port,STRAIGHT_TALK,STALA574BGP5,TF128PSIMT5N,NTAPPMP00045SA,GSM,33178,API
TOTAL_WIRELESS,TWLGL82VCR,TF256PSIMV9N,TWN00110,33178,Internal_port,STRAIGHT_TALK,STZEZ232TGGY,TF128PSIMT5RM,STAPP30035,GSM,33178,WARP
TOTAL_WIRELESS,BYOP_LTE_APL_VZW,TF256PSIMV9ND,TWN00110,33178,Internal_port,TELCEL,TCZEZ861BGP5,TF128PSIMT5N,TCAPP00060ILD,GSM,33178,API
TOTAL_WIRELESS,BYOP_NONLTE_SAM_VZW,,TWAPP00025,33178,Internal_port,NET10,NTAPISEG16GYP4,TF128PSIMC4N,NTAPPU0065ILD,GSM,33178,API
TOTAL_WIRELESS,BYOP_LTE_APL_VZW,TF256PSIMV9ND,TWAPP00035,33178,Internal_port,NET10,NTHUH1511DCPDG,TF256PSIMV9N,NTAPP6U040,CDMA,33178,WARP
TOTAL_WIRELESS,BYOP_NONLTE_SAM_VZW,,TWAPP00060,33178,Internal_port,WFM,WFMSAG950U1GP5P,WA128PSIMT5N,WFMAPPU0029,GSM,33178,WARP
STRAIGHT_TALK,STALA571VCPWP,TF256PSIMV9RM,NTAPPMP00045,33178,Internal_port,TRACFONE,TFLGL52VCPAS,TF256PSIMV9N,TSAPP40060,CDMA,33178,WARP
STRAIGHT_TALK,STALA571VCPWP,TF256PSIMV9RM,NTAPPMP00045,33178,Internal_port_WENROLLMENT,TELCEL,TCZEZ861BGP5,TF128PSIMT5N,TCAPP00060ILD,GSM,33178,WARP
STRAIGHT_TALK,STLG306GWHP,TF128SIMT5,STAPP30035,33178,Internal_port,NET10,NTAPISEG16GYP4,TF128PSIMC4N,NTAPPU0065ILD,GSM,33178,WARP
STRAIGHT_TALK,BYOP_LTE_APL_VZW,TF256PSIMV9ND,STAPP20055,33178,Internal_port,SIMPLE_MOBILE,SMALA576BGP,SM128PSIMT5N,SMNAPP30060,GSM,33178,WARP
STRAIGHT_TALK,BYOP_NONLTE_SAM_VZW,,NTAPPMP00045,33178,Internal_port,TELCEL,TCZEZ861BGP5,TF128PSIMT5N,TCAPP00060ILD,GSM,33178,WARP
STRAIGHT_TALK,BYOP_LTE_APL_SPT,TFSIMSLTEBYOP,STAPP20055,33178,Internal_port,TRACFONE,TFZEZ986DC,TF256PSIMV9N,TSAPP40450,CDMA,33178,WARP
STRAIGHT_TALK,BYOP_NONLTE_SAM_SPT,,STAPP30035,33178,Internal_port,STRAIGHT_TALK,TFSAS120VC3PWP,TF256PSIMV9N,TSAPP402000,CDMA,33178,WARP
WFM,WFMLGL57BGP,WFM128PSIMT5TM,,33178,Internal_port,NET10,NTSAS320VCPSP,TF256PSIMV9N,NTAPPU0065ILD,CDMA,33178,WARP
WFM,WFMLGL57BGP,WFM128PSIMT5TM,,33178,Internal_port_WENROLLMENT,NET10,NTSAS320VCPSP,TF256PSIMV9N,NTAPPU0065ILD,CDMA,33178,WARP
