Brand,PartNumber,SIM,PIN,PaymentType,#  of Childs,Child_Esn_1,Child_Sim_1,Child_Esn_2,Child_Sim_2,Child_Esn_3,Child_Sim_3,CardType,Cvv
WFM,WFMAPI8G256GYR,WA128PSIMT5N,WFMAPPU0029,Reoccuring,1,WFMAPI8G256GYR5,WA128PSIMT5N,,,,,Visa,123
WFM,WFMAPI8PG64GDP5P,WA128PSIMT5N,WFMAPPU0029,Reoccuring,1,WFMAPI8PG64GDR,WA128PSIMT5N,,,,,Visa,123
WFM,WFMLML413DGWHP,WA128PSIMT5N,WFMAPPU0029,Reoccuring,1,WFMLML413DGWHP5,WA128PSIMT5N,,,,,Visa,123
WFM,WFMZEZ970GR,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMZEZ970GR5,WA128PSIMT5N,WFMZEZ970GWHP,WA128PSIMT5N,,,Visa,123
WFM,WFMSAG900T3GP5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMSAG900T3GR,WA128PSIMT5N,WFMSAG900T3GR5,WA128PSIMT5N,,,Visa,123
WFM,WFMSAG950U1GP5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMSAG950U1GP5P,WA128PSIMT5N,WFMSAG950U1GWHP,WA128PSIMT5N,,,Visa,123
WFM,WFMSAG955U1GP5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMSAG955U1GP5P,WA128PSIMT5N,WFMSAG955U1GWHP,WA128PSIMT5N,,,Visa,123
WFM,WFMZEZ719DGP5,WA128PSIMT5N,WFMAPPU0039,Reoccuring,3,WFMZEZ719DGP5P,WA128PSIMT5N,WFMZEZ719DGWHP,WA128PSIMT5N,WFMZEZ719DGWHP5,WA128PSIMT5N,Visa,123
WFM,WFMLGL163BGP5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,3,WFMLGL163BGP5P,WA128PSIMT5N,WFMLGL163BGWHP,WA128PSIMT5N,WFMLGL163BGWHP5,WA128PSIMT5N,Visa,123
WFM,WFMLGL157BGP5,WA128PSIMT5N,WFMAPPU0039,Reoccuring,3,WFMLGL157BGP5P,WA128PSIMT5N,WFMLGL157BGWHP,WA128PSIMT5N,WFMLGL157BGWHP5,WA128PSIMT5N,Visa,123
WFM,WFMLGL57BGP,WFM128PSIMT5TM,WFMAPPU0029,Reoccuring,2,WFMLGL57BGP,WFM128PSIMT5TM,WFMLGL57BGP,WFM128PSIMT5TM,,,ACH,
WFM,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMAPPU0039,,3,WFMLGL83BGP5,WFM128PSIMT5TM,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMSAS550TGP,WFM128PSIMT5TM,Visa,123
WFM,WFMLGL57BGP,WFM128PSIMT5TM,WFMAPPU0049,Reoccuring,1,WFMZEZ232TGP5,WFM128PSIMT5TM,,,,,American Express,1234
WFM,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMAPPU0024,Reoccuring,2,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMZEZ232TGP5,WFM128PSIMT5TM,,,Discover,123
WFM,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMAPPU0024,Reoccuring,2,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMZEZ232TGP5,WFM128PSIMT5TM,,,Discover,123
WFM,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMAPPU0039,,3,WFMLGL83BGP5,WFM128PSIMT5TM,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMSAS550TGP,WFM128PSIMT5TM,Visa,123
WFM,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMAPPU0039,Reoccuring,3,WFMLGL83BGP5,WFM128PSIMT5TM,PHWFM128PSIMT5TD,WFM128PSIMT5TD,WFMSAS550TGP,WFM128PSIMT5TM,ACH,
WFM,WFMSAG965U1GP,WA128PSIMT5N,WFMAPPU0029,Reoccuring,1,WFMSAG965U1GP,WA128PSIMT5N,,,,,Visa,123
WFM,WFMSAG965U1GP5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,1,WFMSAG965U1GP5,WA128PSIMT5N,,,,,Visa,123
WFM,WFMSAG965U1GP5P,WA128PSIMT5N,WFMAPPU0029,Reoccuring,1,WFMSAG965U1GP5P,WA128PSIMT5N,,,,,Visa,123
WFM,WFMSAG965U1GWHP,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMSAG965U1GWHP,WA128PSIMT5N,WFMSAG965U1GWHP,WA128PSIMT5N,,,Visa,123
WFM,WFMSAG965U1GWHP5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMSAG965U1GWHP5,WA128PSIMT5N,WFMSAG965U1GWHP5,WA128PSIMT5N,,,Visa,123
WFM,WFMSAG965U1GR,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMSAG965U1GR,WA128PSIMT5N,WFMSAG965U1GR,WA128PSIMT5N,,,Visa,123
WFM,WFMSAG965U1GR5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,2,WFMSAG965U1GR5,WA128PSIMT5N,WFMSAG965U1GR5,WA128PSIMT5N,,,Visa,123
WFM,WFMSAG965U1GRCS,WA128PSIMT5N,WFMAPPU0039,,3,WFMSAG965U1GRCS,WA128PSIMT5N,WFMSAG965U1GRCS,WA128PSIMT5N,WFMSAG965U1GRCS,WA128PSIMT5N,Visa,123
WFM,WFMSAG965U1GRCS5,WA128PSIMT5N,WFMAPPU0029,Reoccuring,1,WFMSAG965U1GRCS5,WA128PSIMT5N,,,,,Visa,123
