brand,ESN,SIM,zip,PIN,cellTech
net10,NTZEZ791G3P5,TF64PSIMT5RM,33178,NTAPP6U040,GSM
net10,NTZEZ936CDG,TF256PSIMV9RM,33178,NTPU0065ILDS,CDMA
net10,NTLGL22CP,,33178,NTAPP6U060,CDMA
net10,NTALA205GP5,TF128SIMT5,00692,NTPU0001,GSM
net10,NTMTEX431GP5,TF128SIMT5,00692,NTPU0001,GSM
net10,NTSAT340GP5,TF128SIMT5,00692,NTPU0001,GSM
net10,NTAPI6PG16GDRB,TF128PSIMC4N,33178,NTPU0065ILDS,GSM
net10,NTLGL31GP4RS,TF64PSIMC4RM,33178,NTAPP6U040,GSM
telcel,TCMTW419GP5,TF128SIMT5,00692,TCAPP00020ILD,GSM
telcel,TCSAM828CP,,33165,TCAPPUNL45,CDMA
simple mobile,SMZEZ930GP5SP,SM128PSIMT5RM,33178,SMNAPP30060,GSM
