brand,esnpart,SIM,Cell tech,Pin
net10,NTSAS906CP,TF256PSIMV9N,CDMA,NTPU0001
net10,NTLCPOAI5SGP4,TF128PSIMC4N,GSM,NTAPP6U040
net10,NTZEZ793CWHP,,CDMA,NTAPP6U040
net10,NTSAS765CP,,CDMA,NTAPP6U060
telcel,TCLG306G3P5PV2,TF64SIMC4,GSM,TCAPP00020ILD
simple mobile,SMZEZ753GR5,SM128PSIMT5RM,GSM,SMNAPP0025TT
simple mobile,PHSM64PSIMT5B,SM64PSIMT5B,GSM,SMNAPP30060
telcel,TCHUH868CPTGP,,CDMA,TCAPP00055ILD
telcel,TCSAS738CPTGP,,CDMA,TCAPP00035ILD
telcel,TCHUH215GP5V2-5,TF64SIMC4,GSM,TCAPP00040ILD
telcel,TCSAS738CPTGP,,CDMA,TCAPP40025ILD
telcel,TCHUH215GP5V2-5,TF64SIMC4,GSM,TCN40025ILD
telcel,TCHUH868CPTGP,,CDMA,TCAPP00060ILD
simple mobile,SMZEZ753GR5,SM128PSIMT5RM,GSM,SMNAPP0025TT
