From Part,Form SIM,From PIN,From Tech,Zip,Brand,To Status,To Part,To SIM,To Tech,To PIN,Min Transfer
TFALA383GDG,TF64SIMC4,TSAPP40120,GSM,33178,tracfone,New,TFALA570BGP4-5,TF128PSIMC4RM,GSM,,Yes
TFLGL33GWTP4DU,TF64PSIMC4RM,TSAPP40120,GSM,33178,tracfone,New,TFALA846CPAP,TF256PSIMV9RM,CDMA,,Yes
NTLG306GP4SOP,TF64SIMT5,NTAPP6U060,GSM,33178,NET10,New,NTLGL22CPTGP,,CDMA,NTPU0001,Yes
NTALA845GP4,TF64PSIMC4,NTPU0001,GSM,33178,NET10,New,NTLGL17AGP4DU,TF128PSIMC4RM,GSM,NTPU0001,Yes
NTLG329GRCS7,TF64SIMCL7,NTAPP6U040,GSM,00692,NET10,New,NTLGL43AGRCS7,TF128PSIMCL7N,GSM,,Yes
NTLGL43AGRCS7,TF128PSIMCL7N,NTAPP6U040,GSM,00692,NET10,New,NTLG329GRCS7,TF64SIMCL7,GSM,,Yes
NTLGL17AGDG,TF128PSIMCL7RM,NTAPP6U040,GSM,00692,NET10,New,NTLG329GRCS7,TF64SIMCL7,GSM,,Yes
NTLCPOAGS4GP5,TF128PSIMT5RM,NTAPPU0001,GSM,33178,NET10,New,NTZEZ963VCP,TF256PSIMV9N,CDMA,,Yes
NTZEZ716BG3P4P,TF128PSIMC4RM,NTAPP6U060,GSM,33178,NET10,New,NTZEZ962BGP4-5,TF128PSIMC4N,GSM,,Yes
NTZEZ716BGP7P,TF128PSIMCL7RM,NTAPP60060ILDUP,GSM,00692,NET10,New,NTZEZ717VCPDG,TF256PSIMV9RM,CDMA,,Yes
NTLG329G3P4,TF128SIMC4,NTAPPU0065ILD,GSM,33178,NET10,New,NTLGL82VCU,TF256PSIMV9N,CDMA,,Yes
NTLG306GP4SOP,TF64SIMT5,NTAPP60070ILDUP,GSM,33178,NET10,New,NTLGL81AGCALLER4,TF128PSIMC4N,GSM,,Yes
NTLG329GRCS7,TF64SIMCL7,NTAPPU0065ILD,GSM,33178,NET10,New,NTLGL62VCU,TF256PSIMV9N,CDMA,,Yes
NTLG329G3P4,TF128SIMC4,NTAPPU0065ILD,GSM,33178,NET10,New,NTALA571VCP-5,TF256PSIMV9RM,CDMA,,Yes
NTLG306GP4SOP,TF64SIMT5,NTAPP60070ILDUP,GSM,33178,NET10,New,NTALA570BGP,TF128PSIMT5RM,GSM,,Yes
NTLG329GRCS7,TF64SIMCL7,NTAPPU0065ILD,GSM,00692,NET10,New,NTZEZ828TGWHP5,TF128PSIMT5N,GSM,,Yes
NTLG306GP4SOP,TF64SIMT5,NTAPPU0065ILD,GSM,33178,NET10,New,NTAPISEG16GYP4,TF128PSIMC4N,GSM,,Yes
NTLG329G3P4,TF128SIMC4,NTAPPU0065ILD,GSM,33178,NET10,New,NTAPISEC16GYPWP,TF256PSIMV9N,GSM,,Yes
NTZEZ716BG3P4P,TF128PSIMC4RM,NTAPP6U060,GSM,33178,NET10,New,NTSAG930VCPTGP,TF256PSIMV9N,CDMA,,Yes
NTZEZ716BGP7P,TF128PSIMCL7RM,NTAPP60060ILDUP,GSM,00692,NET10,New,NTAPI5SG16GYWHP4V2,TF128PSIMC4N,GSM,NTAPP6U060,Yes
