From Brand,From Esn,From Sim,From Cell,ZIP,From Pin,To Brand,To Esn,To Sim,To Pin
telcel,TCSAS738CPSPV2,,CDMA,33178,TCAPP00055ILD,net10,NTZEZ791GR4,TF128PSIMC4RM,NTPU0065ILDS
telcel,PHTC128PSIMT5NB,TF128PSIMT5NB,GSM,33178,TCAPP00055ILD,net10,NTALA520CU,TF256PSIMV9RM,NTPU0065ILDS
telcel,TCSAS738CPSPV2,,CDMA,33178,TCAPP00035ILD,simple mobile,SMZEZ753G3P5P,SM64PSIMT5RM,SMNAPP30060
telcel,TCSAS738CPSPV2,,CDMA,33178,TCAPP40025ILD,net10,NTZEZ791GR4,TF128PSIMC4RM,NTPU0065ILDS
telcel,PHTC128PSIMT5NB,TF128PSIMT5NB,GSM,33178,TCN40025ILD,net10,NTALA520CU,TF256PSIMV9RM,NTPU0065ILDS
telcel,TCSAS738CPSPV2,,CDMA,33178,TCAPP00035ILD,simple mobile,SMZEZ753G3P5P,SM64PSIMT5RM,SMNAPP30060
net10,NTSAT330GP5,TF128SIMT5,GSM,00692,NTPU0065ILDS,simple mobile,SMZEZ753G3P5P,SM64PSIMT5RM,SMNAPP30060
telcel,TCSAS738CPSPV2,,CDMA,33178,TCAPP00020ILD,net10,NTLG305CU,,NTAPP6U060
telcel,TCMTEX431GP5,TF64SIMT5,GSM,33178,TCAPP00045ILD,net10,NTLGL95GP5,TF64PSIMT5,NTPU0001
telcel,TCMTW419GP5,TF64SIMT5,GSM,33178,TCNS00045,net10,NTSAT401GTMOP5,TF64SIMT5,NTPU0001
telcel,PHTC128PSIMT5NB,TF128PSIMT5NB,GSM,33178,TCAPP00055ILD,tracfone,TFLGL16CP-5,,TSAPP40300
net10,NTSAT404GP4,TF64SIMC4,GSM,33178,NTBUY0300INDVP,telcel,TCMTW419GP5,TF64SIMT5,TCNS00045
telcel,TCMTW419GP5,TF64SIMT5,GSM,33178,TCNS00045,net10,NTHUH867GP4,TF64PSIMC4,NTPU0001
net10,NTLGL95GP5,TF64PSIMT5,GSM,33178,NTPU0065ILDS,tracfone,TFUXU671CPSP,,TSAPP40300
net10,NTLGL95GP5,TF64PSIMT5,GSM,33178,NTPU0065ILDS,tracfone,TFLGL61AGP,TF128PSIMC4N,TFSAPP1SPH200
telcel,TCMTW419GP5,TF64SIMT5,GSM,33178,TCNS00045,tracfone,TFLGL44VCPWP,TF256PSIMV9N,TFSAPP1SPH750
