Brand,ESN,SIM,ZIP,Pin,Cell Tech,Add?
net10,NTLG109CP-5,,33178,NTAPP6U060,CDMA,Now
net10,NTHUH891GDG,TF128PSIMC4RM,33178,NTPU0065ILDS,GSM,Now
net10,NTALA846CU,,33178,NTPU0065ILDS,CDMA,Now
net10,NTALA521G,TF64PSIMC4RM,33178,NTPU0065ILDS,GSM,Later
net10,NTZEZ752CU,,33178,NTAPP6U060,CDMA,Now
net10,GPHUH892CB,,33178,NTAPP6U060,CDMA,Now
net10,NTLG441G3P4P,TF64SIMC4,33178,NTPU0065ILDS,GSM,Now
net10,NTLG237CDG,,33178,NTPU0065ILDS,CDMA,Later
telcel,TCHUH867GP5ASV2,TF64PSIMT5,33178,TCAPP00055ILD,GSM,Now
simple mobile,PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP30060,GSM,Now
telcel,TCMTEX431G,TF128SIMT5,00692,TCAPP00035ILD,GSM,Later
telcel,TCHUH868CPTGP,,33178,TCAPP00060ILD,CDMA,Now
telcel,TCZEZ716BGP5DG,TF128PSIMT5RM,33178,TCAPP00020ILD,GSM,Later
telcel,TCZEZ716BGP5P,TF128PSIMT5RM,33178,TCAPP00045ILD,GSM,Now
telcel,TCHUH868CRV2,,33178,TCAPP40025ILD,CDMA,Later
telcel,TCRM9310CPDGV2,,33178,TCN40025ILD,CDMA,Now
