brand,Part Number,SIM,Zip,Pin,Cell Tech,pin2
net10,NTALA520CDG,TF256PSIMV9RM,33178,NTPU0065ILDS,CDMA,NTAPP6U060
net10,GPLGL15GB,TF128PSIMC4RM,33178,NTAPP6U060,GSM,NTPU0065ILDS
net10,NTSAS275G,TF128SIMT5,00692,NTPU0001,GSM,TCAPP00055ILD
net10,NTSAT330GP5,TF128SIMT5,00692,NTPU0001,GSM,NTPU0065ILDS
net10,NTLG305CU,,33178,NTAPP6U060,CDMA,NTAPP6U040
telcel,TCHUH215G,TF128SIMT5,00692,TCAPP00020ILD,GSM,NTPU0001
telcel,TCSAM828CP,,33178,TCNS00045,CDMA,TCNS00045
net10,NTHUH226CP,,33178,NTAPPHP6U001,CDMA,NTPU0001
simple mobile,PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP0050BBUNL,GSM,SMNAPP60BBUNL
net10,NTALA383GDG,TF64SIMT5,33178,NTAPP6U060,GSM,NTAPP6U040
telcel,TCLG441GP5SOP,TF64SIMT5,33178,TCAPP00035ILD,GSM,TCAPP00040ILD
telcel,TCHUH868CPTGP,,33178,TCAPP00055ILD,CDMA,TCAPP00045ILD
telcel,TCZEZ716BGP5DG,TF128PSIMT5RM,33178,TCAPP00060ILD,GSM,TCAPP40025ILD
telcel,TCZEZ716BGP5P,TF128PSIMT5RM,33178,TCAPP00045ILD,GSM,TCN40025ILD
telcel,TCHUH868CRV2,,33178,TCAPP40025ILD,CDMA,TCAPP00060ILD
telcel,TCRM9310CPDGV2,,33178,TCN40025ILD,CDMA,TCAPP00035ILD
