Active?,ESN,PIN,Carrier,is LTE?,is iPhone 5?,ZIP,NAC,Brand
Active,Hex,NTAPPU0065ILD,RSS,YES,YES,33178,NTBYOPVZP,Net10
Active,Hex,NTPU0001,RSS,YES,NO,33178,NTBYOPVZP,Net10
Active,Decimal,NTAPP6U035,RSS,NO,NO,33178,NTBYOPVZP,Net10
Not Active,Decimal,NTPU0065ILDS,RSS,YES,YES,33178,NTBYOPVZP,Net10
Not Active,Hex,NTPU0065ILDS,RSS,YES,NO,33178,NTBYOPVZP,Net10
Not Active,Decimal,NTPU0001,RSS,NO,NO,33178,NTBYOPVZP,Net10
Not Active,Hex,NTPU0065ILDS,SPRINT,NO,NO,33178,NTBYOPVZP,Net10
Not Active,Decimal,NTAPP6U040,SPRINT,YES,NO,33178,NTBYOPVZP,Net10
Not Active,Decimal,NTPU0001,SPRINT,YES,YES,33178,NTBYOPVZP,Net10
Active,Decimal,NTPU0001,SPRINT,YES,NO,33178,NTBYOPVZP,Net10
Active,Decimal,NTAPP6U035,SPRINT,YES,YES,33178,NTBYOPVZP,Net10
