brand,Part Number,SIM,Zip,Pin,Cell Tech,status,Action
net10,NTLG441G,TF128SIMT5,00692,NTPU0001,GSM,Past Due,Reup
net10,NT256PBYOPN,TF256PSIMV9ND,33178,NTAPP6U060,CDMA,Past Due,Reup
tracfone,TFLGL62VCPSP,TF256PSIMV9N,33178,TFSAPP1SPH750,CDMA,Past Due,Reup
net10,NTALA846CP,,33178,NTPU0065ILDS,CDMA,Past Due,Reup
telcel,TCLG441GP5SOP,TF64SIMT5,33178,TCAPP00055ILD,GSM,Past Due,Reup
net10,NTMTW409GP4,TF128SIMT5,00692,NTPU0065ILDS,GSM,Past Due,Reup
net10,NTMTXT830C3PWP,,33178,NTAPP60080ILDUP,CDMA,Past Due,Reup
telcel,TCMTXT939G3P5PV2,TF64PSIMT5RM,33178,TCAPP00060ILD,GSM,Past Due,Reup
net10,NTRM9310CDG,,33178,NTPU0001,CDMA,Past Due,Reup
simple mobile,PHSM64PSIMT5BLC,SM64PSIMT5B,33178,SMNAPP20070ILDUP,GSM,Past Due,Reup
simple mobile,SMZEZ791G3P5P,SM128PSIMT5RM,33178,SMNAPP30060,GSM,Past Due,Reup
