From Brand,From Esn,From Sim,From Cell,ZIP,From Pin,To Brand,To Esn,To Sim,To Pin
telcel,TCSAS738CPSPV2,,CDMA,33178,TCAPP00055ILD,simple mobile,PHSM64PSIMT5BMB,SM64PSIMT5BMB,SMP0050SDP2
telcel,PHTC128PSIMT5NB,TF128PSIMT5NB,GSM,33178,TCAPP00055ILD,simple mobile,PHSM64PSIMT5BLC,SM64PSIMT5B,SMP0075SDP3
telcel,TCSAS738CPSPV2,,CDMA,33178,TCAPP00035ILD,simple mobile,SMZEZ716BG3P5,SM128PSIMT5RM,SMP0100SDP4
net10,NTSAT330GP5,TF128SIMT5,GSM,00692,NTPU0065ILDS,simple mobile,SMZEZ828TG3P5,SM128PSIMT5N,SMP0050SDP2
telcel,TCSAS738CPSPV2,,CDMA,33178,TCAPP00020ILD,simple mobile,SMHUH891GR5,SM128PSIMT5RM,SMP0075SDP3
telcel,TCMTEX431GP5,TF64SIMT5,GSM,33178,TCAPPUNL45,simple mobile,SMHUH871GDG,SM128PSIMT5RM,SMP0100SDP4
telcel,TCMTW419GP5,TF64SIMT5,GSM,33178,TCNS00045,simple mobile,PHSM64PSIMT5BLC,SM64PSIMT5B,SMP0050SDP2
telcel,PHTC128PSIMT5NB,TF128PSIMT5NB,GSM,33178,TCAPP00055ILD,simple mobile,PHSM64PSIMT5BLC,SM64PSIMT5B,SMP0075SDP3
net10,NTSAT404GP4,TF64SIMC4,GSM,33178,NTBUY0300INDVP,simple mobile,PHSM64PSIMT5B,SM64PSIMT5B,SMP0100SDP4
telcel,TCMTW419GP5,TF64SIMT5,GSM,33178,TCNS00045,simple mobile,PHSM64PSIMT5MB,SM64PSIMT5B,SMP0050SDP2
net10,NTLGL95GP5,TF64PSIMT5,GSM,33178,NTPU0065ILDS,simple mobile,PHSM64PSIMT5MB,SM64PSIMT5B,SMP0075SDP3
net10,NTLGL95GP5,TF64PSIMT5,GSM,33178,NTPU0065ILDS,simple mobile,PHSM64PSIMT5BLC,SM64PSIMT5B,SMP0100SDP4
telcel,TCMTW419GP5,TF64SIMT5,GSM,33178,TCNS00045,simple mobile,PHSM64PSIMT5B,SM64PSIMT5B,SMP0050SDP2
