brand,ESN,SIM,zip,PIN,cell Tech
net10,NT3GCPOAI4CP,TF128PSIMC4RM,33178,NTAPP6U060,GSM
net10,NTLGL21G,TF128PSIMC4RM,33178,NTPU0065ILDS,GSM
net10,NTLG320GP4,TF64SIMT5,00692,NTAPP6U060,GSM
net10,NTLG440G,TF128SIMT5,00692,NTPU0001,GSM
net10,NTMTEX124GP4,TF128SIMT5,00692,NTPU0065ILDS,GSM
net10,NTHUH871GP4DG,TF64PSIMT5RM,33178,NTAPP6U060,GSM
tracfone,TFLGL61AGP4RS,TF128PSIMC4N,33178,TFSAPP1SPH750,CDMA
telcel,TCLG306GP5,TF128SIMT5,00692,TCAPP00055ILD,GSM
net10,NTSAS890GP4RS,TF64PSIMC4RM,33178,NTAPP6U060,GSM
simple mobile,SMZEZ667GP5,SM128PSIMT5RM,33178,SMNAPP20070ILDUP,GSM
simple mobile,SMZEZ791G3P5P,SM128PSIMT5RM,33178,SMNAPP30060,GSM
