Status,ESN,SIM,Cell Tech,Zip,Pin card type,Pin,phone model,Plan,card type
New,NTHUH867G,TF64PSIMC4,GSM,80201,Megacard,NTPU0001,Android,Annual Easy Exchange,Visa
New,NTSAS720C,,CDMA,80201,Megacard,NTPU0001,Android,Annual Easy Exchange Plus,Visa
New,NTALA382G,TF64SIMT5,GSM,80201,Megacard,NTPU0001,Android,Monthly Easy Exchange Plus,Visa
New,NTSAR355C,,CDMA,80201,Megacard,NTPU0001,Android,Annual Easy Exchange,Discover
New,NTMTW409G,TF64SIMT5,GSM,80201,Megacard,NTPU0001,Android,Annual Easy Exchange Plus,Visa
New,NTMTEX124G,TF64SIMT5,GSM,80201,Megacard,NTPU0001,Android,Annual Easy Exchange,Discover
New,NTSAR455C,,CDMA,80201,Megacard,NTPU0001,Android,Annual Easy Exchange Plus,Discover
New,NTLG235C,,CDMA,80201,Megacard,NTPU0001,Android,Monthly Easy Exchange Plus,Discover
New,NTMTEX431G,TF64SIMT5,GSM,80201,Megacard,NTPU0001,Android,Annual Easy Exchange Plus,Visa
New,NTSAS380C,,CDMA,80201,Megacard,NTPU0001,Android,Annual Easy Exchange Plus,Discover
