Status,PartNumber,SIM,CellTech,ZipCode,PlanType,PIN,PhoneType,CardType
New,NTZEZ232TGGYR,TF128PSIMT5RM,GSM,33178,Megacard,NTAPPU0065ILD,Android,Visa
New,NTZEZ861BGP4-5,TF128PSIMC4N,GSM,33178,Megacard,NTAPP6U060,Android,American Express
New,NTSAS320VC3PWP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U060,Android,Visa
New,NTSAS550TGP,TF128PSIMT5N,GSM,33178,Megacard,NTAPP6U040,Android,American Express
New,NTZEZ916BGP7P,TF128PSIMCL7N,GSM,00692,Megacard,NTAPP60060ILDUP,Android,Discover
New,NTLGL53BGP7,TF128PSIMCL7N,GSM,00692,Megacard,NTAPPU0065ILD,Android,Visa
New,NTLGL56VCR,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP60070ILDUP,Android,American Express
New,NTSAS935DGSVP4P,TF128PSIMC4N,GSM,33178,Megacard,NTAPP60070ILDUP,Android,Discover
New,NTSAS935DCSVP-5,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP60080ILDUP,Android,Visa
New,NTSAG930VCPSP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPPU0001,Android,Discover
New,NTAPI5SG16GYPV2,TF128PSIMC4N,GSM,33178,Megacard,NTAPP6U060,Android,Visa
New,NTAPI5SC16GY,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U040,Android,American Express
New,NTAPI6C16GY,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP60060ILDUP,Android,Discover
New,NTAPI6PC16GYP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPPU0065ILD,Android,Visa
New,NTAPI6SG16GDR4,TF128PSIMC4N,GSM,33178,Megacard,NTAPP60070ILDUP,Android,American Express
New,NTAPI6SC16GY,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP60080ILDUP,Android,Discover
New,NTAPI6SPG16GDP4P,TF128PSIMC4N,GSM,33178,Megacard,NTAPP6U060,Android,Visa
New,NTAPI6SPC16RG,TF256PSIMV9N,CDMA,33178,Megacard,NTAPPU0065ILD,Android,American Express
New,NTLGLRS988VCDG,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP60070ILDUP,Android,Discover
New,NTHUH1511DGSVWHP5,TF128PSIMT5N,GSM,33178,Megacard,NTAPP60080ILDUP,Android,Visa
New,NTHUH1511DCRCS,TF256PSIMV9N,CDMA,33178,Megacard,NTAPPU0065ILD,Android,American Express
New,NTAPISEG16GYP4P,TF128PSIMC4N,GSM,33178,Megacard,NTAPP6U040,Android,Visa
New,NTAPISEC16GYP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U035,Android,Discover
New,NTZEZ828TGDG,TF128PSIMT5N,GSM,33178,Megacard,NTAPP6U040,Android,Visa
New,NTALA571VCPWP,TF256PSIMV9RM,CDMA,33178,Megacard,NTAPP6U060,Android,American Express
New,NTZEZ717VC3PWP,TF256PSIMV9RM,CDMA,33178,Megacard,NTAPP6U040,Android,Visa
New,NTZEZ962BGP,TF128PSIMC4N,GSM,33178,Megacard,NTAPP6U060,Android,American Express
New,NTLGL61AGP4FMP,TF128PSIMC4N,GSM,33178,Megacard,NTAPP6U040,Android,Visa
New,NTLGL44VCP-5,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U035,Android,Discover
New,NTLCPOAGS4GP5,TF128PSIMT5RM,GSM,33178,Megacard,NTAPP6U060,Android,Visa
New,NTHUH891GP4,TF64PSIMC4RM,CDMA,33178,Megacard,NTAPP6U060,Android,Visa
New,NTZEZ753GP4DU,TF64PSIMT5RM,GSM,33178,Megacard,NTAPP6U040,Android,Visa
New,NTALA564CWHP,,CDMA,94043,Megacard,NTAPP6U035,Android,Visa
New,NTALA995GP4SOP,TF64PSIMC4RM,GSM,94043,Megacard,NTAPP6U040,Android,Visa
New,NTSAS890G3P4,TF64PSIMC4RM,GSM,94043,Megacard,NTAPP6U035,Android,Visa
New,NTZEZ930GP4SP,TF64PSIMC4RM,GSM,94043,Megacard,NTAPP6U040,Android,Visa
New,NTZEZ837VCFDP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U035,Android,Visa
New,NTLGL64VCFDP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U040,Android,Visa
New,NTZEZ836BGP4-5,TF128PSIMC4N,GSM,33178,Megacard,NTAPPU0001,Android,Visa
New,NTZEZ836BGP5-5,TF128PSIMT5N,GSM,33178,Megacard,NTAPP60060ILDUP,Android,Visa
New,NTZEZ798BG3P4,TF128PSIMC4RM,GSM,33178,Megacard,NTAPPU0065ILD,Android,Visa
New,NTZEZ798BGFDP5,TF128PSIMT5RM,GSM,33178,Megacard,NTAPP60070ILDUP,Android,Visa
