PartNumber,Sim,CardType,Tech,Pin Type,Pin for part
NTZEZ232TGGY3P5,TF128PSIMT5RM,Discover,GSM,Megacard,NTAPP6U040
NTSAS907VCPAS,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPPU0065ILD
NTSAS320VCU,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPP6U060
NTSAS550TGR5,TF128PSIMT5N,Discover,GSM,Megacard,NTAPP6U040
NTZEZ916BG3P4P,TF128PSIMC4N,American Express,GSM,Megacard,NTAPP60060ILDUP
NTLGL53BG3P4P,TF128PSIMC4N,Visa,GSM,Megacard,NTAPPU0065ILD
NTLGL56VCPDU,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPP60070ILDUP
NTSAS935DGSV3P4,TF128PSIMC4N,American Express,GSM,Megacard,NTAPP60070ILDUP
NTSAS935DCSV3PWP,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPP60070ILDUP
NTSAG930VCPWP,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPPU0001
NTAPI5SG16SVV2,TF128PSIMC4N,Visa,GSM,Megacard,NTAPP6U060
NTAPI5SC16GYP,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPP6U040
NTAPI6C16SVP,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPP60060ILDUP
NTAPI6PC16SV,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPPU0065ILD
NTAPI6SG16GY,TF128PSIMC4N,Discover,GSM,Megacard,NTAPP60070ILDUP
NTAPI6SC16GYPWP,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPP60080ILDUP
NTAPI6SPG16GYWHP,TF128PSIMC4N,Visa,GSM,Megacard,NTAPP6U040
NTAPI6SPC16RG,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPPU0065ILD
NTLGLRS988VCPAS,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPP60070ILDUP
NTHUH1511DGSVR,TF128PSIMT5N,Visa,GSM,Megacard,NTAPP60080ILDUP
NTHUH1511DCRCS,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPP6U040
NTAPISEC16GYPWP,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPP6U040
NTAPISEG16GYWHP,TF128PSIMC4N,American Express,GSM,Megacard,NTN6U001ILD
NTZEZ828TGP5-5,TF128PSIMT5N,American Express,GSM,Megacard,NTN6U001ILD
NTALA570BG3P4P,TF128PSIMT5RM,Visa,GSM,Megacard,NTPU0065ILDS
NTALA571VCPAS,TF256PSIMV9RM,Discover,CDMA,Megacard,NTAPP6U040
NTZEZ963VCPWP,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPP6U035
NTALA621BGP7,TF128PSIMC4RM,Visa,GSM,Megacard,NTAPP60060ILDUP
NTLGL82VCP-5,TF256PSIMV9N,American Express,CDMA,Megacard,NTN6U001ILD
NTLGL62VCWHP,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPP6U040
NTZEZ716BG,TF128PSIMT5RM,American Express,GSM,Megacard,NTN6U001ILD
NTLGL52VCDG,TF256PSIMV9N,Visa,GSM,Megacard,NTAPP6U060
NT3GCPOAI5SGP5,TF128PSIMT5N,Visa,GSM,Megacard,NTAPP6U060
NTSAS920CP-5,TF256PSIMV9RM,Visa,CDMA,Megacard,NTN6U001ILD
NTHUH892C3P,TF256PSIMV9RM,Visa,CDMA,Megacard,NTPU0065ILDS
NTSAS820C3P,TF256PSIMV9RM,Visa,CDMA,Megacard,NTAPP6U040
NTALA206GRCS5,TF128SIMT5RM,Visa,GSM,Megacard,NTAPP6U060
NTHUH871GP4P,TF64PSIMT5RM,Visa,GSM,Megacard,NTAPP6U015
NTZEZ667GP5,TF64PSIMC4RM,Visa,GSM,Megacard,NTAPP6U060
NTZEZ837VCFDP,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPP60060ILDUP
NTLGL64VCFDP,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPP60060ILDUP
NTZEZ836BGP4-5,TF128PSIMC4N,Visa,GSM,Megacard,NTAPP60060ILDUP
NTZEZ836BGP5-5,TF128PSIMT5N,Visa,GSM,Megacard,NTAPP60060ILDUP
NTZEZ836BGP7,TF128PSIMCL7N,Visa,GSM,Megacard,NTAPP60060ILDUP
NTZEZ798BGFDP5,TF128PSIMT5RM,Visa,GSM,Megacard,NTAPP60060ILDUP
