Part Number,SIM,Pin Card,action,Tech,Pin for activation
NTZEZ232TGGYP5P,TF128PSIMT5RM,NTAPPU0065ILD,now,GSM,NTAPP6U040
NTSAS907VCPFMP,TF256PSIMV9N,NTAPP60070ILDUP,now,CDMA,NTAPP6U060
NTZEZ861BGP5-5,TF128PSIMT5N,NTAPPU0065ILD,now,GSM,NTAPP6U040
NTSAS320VCP-5,TF256PSIMV9N,NTAPP60070ILDUP,now,CDMA,NTAPP6U060
NTSAS550TGP5,TF128PSIMT5N,NTAPPU0065ILD,now,GSM,NTAPP6U040
NTZEZ916BG3P7P,TF128PSIMC4N,NTAPP60060ILDUP,later,GSM,NTAPP60060ILDUP
NTLGL53BGP7P,TF128PSIMC4N,NTAPP6U060,now,GSM,NTAPPU0065ILD
NTLGL56VC3PWP,TF256PSIMV9N,NTAPPU0001,now,CDMA,NTAPP60070ILDUP
NTZEZ291DGP4P,TF128PSIMC4RM,NTAPPMB6030,now,GSM,NTAPPMB6050
NTSAS935DGSVP4-5,TF128PSIMC4N,NTAPPU0065ILD,now,GSM,NTAPP60070ILDUP
NTSAS935DCSVDG,TF256PSIMV9N,NTAPP60060ILDUP,now,CDMA,NTAPP6U060
NTSAG930VCP-5,TF256PSIMV9N,NTNHPAPP6U035,later,CDMA,NTAPPU0001
NTAPI5SG16SVV2,TF128PSIMC4N,NTAPP6U060,now,GSM,NTAPP6U060
NTAPI5SC16SVP,TF256PSIMV9N,NTAPP6U040,now,CDMA,NTAPP6U040
NTAPI6C16SV,TF256PSIMV9N,NTNHPAPP6U035,later,CDMA,NTAPP60060ILDUP
NTAPI6PC16SVP,TF256PSIMV9N,NTAPP6U060,now,CDMA,NTAPPU0065ILD
NTAPI6SG16SVP4P,TF128PSIMC4N,NTAPP6U035,now,GSM,NTAPP60070ILDUP
NTAPI6SC16SVWHP,TF256PSIMV9N,NTAPP6U040,later,CDMA,NTAPP60080ILDUP
NTAPI6SPG16SVR,TF128PSIMC4N,NTAPP6U040,now,GSM,NTAPP6U040
NTAPI6SPC16GDWHP,TF256PSIMV9N,NTAPP6U040,later,CDMA,NTAPPU0065ILD
NTLGLRS988VCPRS,TF256PSIMV9N,NTAPP6U060,now,CDMA,NTAPP60070ILDUP
NTHUH1511DGSVU,TF128PSIMT5N,NTAPP6U035,now,GSM,NTAPP60080ILDUP
NTHUH1511DCPDG,TF256PSIMV9N,NTAPP6U040,later,CDMA,NTAPP6U060
NTAPISEG16GYWHP4,TF128PSIMC4N,NTNHPAPP6U035,later,GSM,NTNHPAPP6U045
NTAPISEC16GYPWP,TF256PSIMV9N,NTAPP6U060,now,CDMA,NTN6U001ILD
NTALA571VCWHP,TF256PSIMV9RM,NTAPP6U040,now,CDMA,NTAPPU0001
NTZEZ828TGP,TF128PSIMT5N,NTAPP6U060,now,GSM,NTN6U001ILD
NTZEZ963VCRCS,TF256PSIMV9N,NTAPP6U035,now,CDMA,NTAPPU0001
NTALA621BGP5-5,TF128PSIMC4RM,NTAPP6U040,later,GSM,NTNHPAPP6U045
NTLGL82VCPWP,TF256PSIMV9N,NTAPP6U040,now,CDMA,NTAPPU0001
NTLGL81AGP4-5,TF128PSIMC4N,NTNHPAPP6U035,later,GSM,NTNHPAPP6U045
NTLGL62VCPTGP,TF256PSIMV9N,NTAPP6U060,now,CDMA,NTN6U001ILD
NTZEZ716BGDG,TF128PSIMT5RM,NTAPP6U035,now,GSM,NTN6U001
NTLGL43AGP4-5,TF128PSIMC4N,NTAPP6U040,now,GSM,NTN6U001ILD
NTALA521GP4-5,TF64PSIMC4RM,NTAPP6U040,now,GSM,NTAPP6U060
NTSAS902CPFD,TF256PSIMV9RM,NTAPP6U060,now,CDMA,NTAPP6U040
NTLGL31GR4,TF64PSIMC4RM,NTAPP6U015,now,GSM,NTAPP6U035
NTZEZ837VCP,TF256PSIMV9N,NTAPP6U035,now,CDMA,NTAPP6U040
NTLGL64VCP,TF256PSIMV9N,NTAPP6U040,now,CDMA,NTAPPU0001
NTZEZ836BGFDP4,TF128PSIMC4N,NTAPPU0001,now,GSM,NTAPP60060ILDUP
NTZEZ836BG3P5,TF128PSIMT5N,NTAPP60060ILDUP,now,GSM,NTAPP6U060
NTZEZ836BGP7,TF128PSIMCL7N,NTAPP6U060,now,GSM,NTAPPU0065ILD
NTZEZ798BGFDP4,TF128PSIMC4RM,NTAPPU0065ILD,now,GSM,NTAPP60070ILDUP
NTZEZ798BG3P5,TF128PSIMT5RM,NTAPP60070ILDUP,now,GSM,NTAPP6U060
