Part,SIM,Status,Zip Code,Cell Tech,Pin Type,Part for PIN,Phone Type,New ESN Status
NTZEZ232TGGYRCS5,TF128PSIMT5RM,New,33178,GSM,Megacard,NTAPP6U040,Android,Active
NTSAS907VCU,TF256PSIMV9N,New,33178,CDMA,Megacard,NTAPP6U001ILD,Android,Active
NTZEZ861BGP4AS,TF128PSIMT5N,New,33178,GSM,Megacard,NTAPP6U015,Android,Active
NTALA621BGP4-5,TF128PSIMT5RM,New,33178,GSM,Megacard,NTAPP6U040,Android,Active
NTLGL61AGWHP7,TF128PSIMC4N,New,33178,GSM,Megacard,NTAPP6U040,Android,Active
NTLGL51AGR4,TF128PSIMCL7N,New,00692,GSM,Megacard,NTAPPU0001,Android,Active
NTZEZ716BGP5DU,TF128PSIMT5RM,New,33178,GSM,Megacard,NTAPP6U040,Android,In Active
NTLGL43AGP4P,TF128PSIMC4N,New,33178,GSM,Megacard,NTAPP6U001ILD,Android,Active
NTLGL52VCPRS,TF256PSIMV9N,New,33178,GSM,Megacard,NTAPP6U040,Android,Active
NTZEZ716BGRCS7,TF128PSIMCL7RM,New,00692,GSM,Megacard,NTN6U001ILD,Android,Active
NTSAS921AGWHP4,TF128PSIMC4RM,New,33178,GSM,Megacard,NTAPP6U015,Android,Active
NTALA521GP4DU,TF128PSIMC4RM,New,33178,GSM,Megacard,NTAPP6U040,Android,Active
NTHUH871GP4SP,TF64PSIMT5RM,New,33178,GSM,Megacard,NTAPP6U015,Android,Active
NTAPI5CG16BL,TF128PSIMC4N,New,33178,GSM,Megacard,NTPU0001,Non-Android,Active
NTLGL25C3PWP,TF128PSIMS8M,New,33178,CDMA,Megacard,NTPU0065ILDS,Android,Active
