status,Part Number,SIM,cell tech,zip,Pin Type,Pin,model
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,Android 1.6 - 2.3.4
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,Android 4.0 & later
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,Dell Inspiron Mini 4G
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,HTC Dash
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,HTC HD2
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,"HTC MyTouch (4G, 3G Slide, 3G)"
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,iPhone (iOS 5 or previous)
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,"LG Generic (Sentio GS505, GS170, DLite)"
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,LG (Optimus T and G2X)
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,Motorola RAZR v3
New,PHNT64PSIMT5MB,TF64PSIMT5BMB,GSM,33178,Megacard,null,Nokia 5230
