Part,SIM,Status,Brand,Old Part,Zip Code,Cell Tech,Part for PIN,Phone Type,Dealer
PHNT128PSIMT5N,TF128PSIMT5NB,New,Tracfone,TFALA382GDMP4,33178,GSM,NTAPP6U040,Android,24940
PHNT128PSIMT5DD,TF64PSIMT5BMB,New,Straight Talk,STRM9310CPWP,33178,GSM,NTAPPU0001,Android,24940
PHNT128PSIMC4D,TF128PSIMC4DD,New,Tracfone,TFLG329GP5P,33178,GSM,NTAPP6U040,Android,24940
PHNT128PSIMC4N,TF128PSIMC4ND,New,Telcel,TCLG441GP5SOP,33178,GSM,NTAPPU0001,Android,24940
PHNT128PSIMT5DD,TF128PSIMT5DD,New,Straight Talk,STRM9310CPWP,33178,GSM,NTAPP6U040,Android,24940
NTZEZ828TG3P5P,TF128PSIMT5N,New,Tracfone,TFLG329GP5P,33178,GSM,TF128PSIMT5N,Android,6841
NTZEZ828TG3P5PSB,TF128PSIMT5N,New,Telcel,TCLG441GP5SOP,33178,GSM,NTAPP6U040,Android,24940
NTZEZ828TG3P5P,TF128PSIMT5N,New,Tracfone,TFLG329GP5P,33178,GSM,NTAPP6U035,Android,24941
GPAPI6SG16GYWHP,TF128PSIMC4N,New,Telcel,TCLG441GP5SOP,33178,GSM,NTNS2U055,Non-Android,
GPAPI6SC16GDPWP,TF256PSIMV9N,New,Straight Talk,STRM9310CPWP,33178,CDMA,NTNS2U045,Non-Android,
GPLGLRS988VCDG,TF256PSIMV9N,New,Straight Talk,STRM9310C,33178,CDMA,NTNS2U055,Non-Android,
NTHUH1511DGSV3P5,TF128PSIMT5N,New,Tracfone,TFLG221CPDM,33178,GSM,NTNS2U045,Android,
NTHUH1511DC3PWP,TF256PSIMV9N,New,Tracfone,TFLG329GP5P,33178,CDMA,NTNS2U055,Android,
NTZEZ716BGP5DU,TF128PSIMT5RM,New,Straight Talk,STRM9310CPWP,33178,GSM,NTNS2U055,Android,
NTSAS320VCPDU,TF256PSIMV9N,New,Telcel,TCLG441GP5SOP,33178,CDMA,NTAPP6U060,Android,
NTSAS550TGRCS5,TF128PSIMT5N,New,Straight Talk,STRM9310CPWP,33178,GSM,NTAPPU0001,Android,
NTLGL56VCPRS,TF256PSIMV9N,New,Tracfone,TFLG221CPDM,33178,CDMA,NTAPP6U040,Android,
NTZEZ291DCPDG,TF256PSIMV9RM,New,Tracfone,TFALA382GDMP4,33178,CDMA,NTAPPMB6050,Android,
NTSAS935DGSVP4SP,TF128PSIMC4N,New,Tracfone,TFLG329GP5P,33178,GSM,NTAPPU0065ILD,Android,
NTSAS935DCSV3P,TF256PSIMV9N,New,Telcel,TCLG441GP5SOP,33178,CDMA,NTAPP60070ILDUP,Android,
NTSAG930VCPAS,TF256PSIMV9N,New,Straight Talk,STRM9310CPWP,33178,CDMA,NTAPPU0001,Android,
GPAPI6SG16GYWHP,TF128PSIMC4N,New,Tracfone,TFLG329GP5P,33178,GSM,NTAPP6U060,Android,
GPAPI6SC16GDPWP,TF256PSIMV9N,New,Telcel,TCLG441GP5SOP,33178,CDMA,NTAPPU0001,Android,
GPLGLRS988VCDG,TF256PSIMV9N,New,Tracfone,TFLG329GP5P,33178,CDMA,NTAPP6U060,Android,
GPHUH1511DGSVR,TF128PSIMT5N,New,Telcel,TCLG441GP5SOP,33178,GSM,NTAPP6U040,Android,
GPHUH1511DCPDU,TF256PSIMV9N,New,Straight Talk,STRM9310CPWP,33178,CDMA,NTAPP6U040,Android,
GPLGLRS988VCDG,TF256PSIMV9N,New,Tracfone,TFLG221CPDM,33178,CDMA,NTAPP6U040,Android,
GPAPISEG16GYR,TF128PSIMC4N,New,Straight Talk,STRM9310C,33178,GSM,NTAPP6U060,Android,
GPAPISEC16GYWHP,TF256PSIMV9N,New,Tracfone,TFLG221CPDM,33178,CDMA,NTAPP6U060,Android,
NTAPI5SG16GYWHPV2,TF128PSIMC4N,New,Straight Talk,STLGL21GP4,33178,GSM,NTAPP6U060,Android,
NTAPI5SC16GYPWP,TF256PSIMV9N,New,Straight Talk,STRM9310C,33178,CDMA,NTAPP6U040,Android,
NTAPI6C16GYWHP,TF256PSIMV9N,New,Tracfone,TFALA382GDMP4,33178,CDMA,NTAPP60060ILDUP,Android,
NTAPI6PC16SVPWP,TF256PSIMV9N,New,Straight Talk,STLGL21GP4,33178,CDMA,NTAPPU0065ILD,Android,
NTAPI6SG16GDP,TF128PSIMC4N,New,Tracfone,TFLG221CPDM,33178,GSM,NTAPP60070ILDUP,Android,
NTAPI6SC16GDWHP,TF256PSIMV9N,New,Tracfone,TFALA382GDMP4,33178,CDMA,NTAPP60080ILDUP,Android,
NTAPI6SPG16SVP,TF128PSIMC4N,New,Straight Talk,STRM9310CPWP,33178,GSM,NTAPPU0001,Android,
NTAPI6SPC16GY,TF256PSIMV9N,New,Straight Talk,STRM9310C,33178,CDMA,NTAPPU0065ILD,Android,
NTLGLRS988VC3P,TF256PSIMV9N,New,Tracfone,TFLG800GP5DM,33178,CDMA,NTAPP60070ILDUP,Android,
NTHUH1511DGSV3P5,TF128PSIMT5N,New,Tracfone,TFLG290CPDM,33178,GSM,NTAPP60080ILDUP,Android,
NTHUH1511DC3PWP,TF256PSIMV9N,New,Straight Talk,STHUH867GP,33178,CDMA,NTAPPU0001,Android,
NTAPISEC16GYR,TF256PSIMV9N,New,Straight Talk,STRM9310CP,33178,CDMA,NTAPPU0001,Android,
