PartNumber,Sim,CardType,Tech,Pin Type,Pin for part,zipCode
NTSAS907VCPTGP,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPP6U060,33178
NTZEZ861BGP4RS,TF128PSIMC4N,American Express,GSM,Megacard,NTAPP6U040,33178
NTSAS320VCR,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPP6U060,33178
NTSAS550TGR,TF128PSIMT5N,American Express,GSM,Megacard,NTAPP6U040,33178
NTZEZ916BGP4,TF128PSIMC4N,Visa,GSM,Megacard,NTAPP60060ILDUP,33178
NTLGL53BG3P4,TF128PSIMC4N,Discover,GSM,Megacard,NTAPPU0065ILD,33178
NTLGL56VCWHP,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPP60070ILDUP,33178
NTSAS935DGSVP,TF128PSIMC4N,Visa,GSM,Megacard,NTAPP60070ILDUP,33178
NTSAS935DCSVU,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPP60080ILDUP,33178
NTSAG930VCPDG,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPPU0001,33178
NTAPI5SG16SVR4V2,TF128PSIMC4N,Discover,GSM,Megacard,NTAPP6U060,33178
NTAPI5SC16SV,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPP6U040,33178
NTAPI6C16SVPWP,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPP60060ILDUP,33178
NTAPI6PC16SV,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPPU0065ILD,33178
NTAPI6SG16GDR4,TF128PSIMC4N,American Express,GSM,Megacard,NTAPP60070ILDUP,33178
NTAPI6SC16GYPWP,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPP60080ILDUP,33178
NTAPI6SPG16GYWHP,TF128PSIMC4N,Discover,GSM,Megacard,NTAPP6U060,33178
NTAPI6SPC16GY,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPPU0065ILD,33178
NTLGLRS988VC3PWP,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPP60070ILDUP,33178
NTHUH1511DGSVP5,TF128PSIMT5N,Discover,GSM,Megacard,NTAPP60080ILDUP,33178
NTHUH1511DCU,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPP6U060,33178
NTAPISEC16GYR,TF256PSIMV9N,Visa,CDMA,Megacard,NTN6U040,33178
NTAPISEG16GYU,TF128PSIMC4N,Discover,GSM,Megacard,NTAPP6U060,33178
NTZEZ828TGR,TF128PSIMT5N,Visa,GSM,Megacard,NTN6U040,33178
NTZEZ962BGP7,TF128PSIMC4N,Visa,GSM,Megacard,NTAPP6U040,33178
NTZEZ963VC3P,TF256PSIMV9N,Visa,CDMA,Megacard,NTN6U040,33178
NTLGL82VCRCS,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPP6U060,33178
NTLGL61AGP4DU,TF128PSIMC4N,Discover,GSM,Megacard,NTAPP6U060,33178
NTLGL44VCRCS,TF256PSIMV9N,American Express,CDMA,Megacard,NTAPP6U060,33178
NTLGL52VCPTGP,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPP6U040,33178
NTLGL43AGRCS4,TF128PSIMC4N,Visa,GSM,Megacard,NTN6U040,33178
NT3GCPOAI5SGP5,TF128PSIMT5N,Discover,GSM,Megacard,NTAPP6U060,33178
NTZEZ837VCPAS,TF256PSIMV9N,Discover,CDMA,Megacard,NTAPP6U035,33178
NTLGL64VCPAS,TF256PSIMV9N,Visa,CDMA,Megacard,NTAPP6U040,33178
NTZEZ836BGP4DG,TF128PSIMC4N,American Express,GSM,Megacard,NTAPPU0001,33178
NTZEZ836BGP5DG,TF128PSIMT5N,Visa,GSM,Megacard,NTAPP60060ILDUP,33178
