status,ESN,SIM,cellTech,zipCode,pinType,pin,phone type,pin1,creditcard,PAST DUE
New,NTSAS907VCR,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP60070ILDUP,Android,Unlimited $40,Discover,PAST DUE
New,NTSAS320VC3P,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U060,Android,Unlimited $60,American Express,PAST DUE
New,NTSAS550TGDG,TF128PSIMT5N,GSM,33178,Megacard,NTAPP6U040,Android,Unlimited International Monthly,Discover,PAST DUE
New,NTZEZ916BG3P5P,TF128PSIMT5N,GSM,33178,Megacard,NTAPP60060ILDUP,Android,Unlimited $60,Visa,PAST DUE
New,NTLGL53BGP5DG,TF128PSIMT5N,GSM,33178,Megacard,NTAPPU0065ILD,Android,Unlimited Monthly,American Express,PAST DUE
New,NTLGL56VC3P,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP60070ILDUP,Android,Unlimited $40,Discover,PAST DUE
New,NTSAS935DGSVP5DG,TF128PSIMT5N,GSM,33178,Megacard,NTAPP60070ILDUP,Android,Unlimited $60,American Express,PAST DUE
New,NTSAS935DCSVP-5,TF256PSIMV9N,CDMA,33178,Megacard,NTAPPU0001,Android,Unlimited Monthly,Discover,PAST DUE
New,NTSAG930VCPTGP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPPU0001,Android,Unlimited $70 1.5 Point Upgrade Plan,Visa,PAST DUE
New,NTAPI5SG16GYV2,TF128PSIMC4N,GSM,33178,Megacard,NTAPP6U060,Android,Unlimited Monthly,Discover,PAST DUE
New,NTAPI5SC16SVWHP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U040,Android,Unlimited International Monthly,Discover,PAST DUE
New,NTAPI6C16GYR,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP60060ILDUP,Android,Unlimited Monthly,Visa,PAST DUE
New,NTAPI6PC16SVPWP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPPU0065ILD,Android,Unlimited Monthly,Discover,PAST DUE
New,NTAPI6SG16RGR,TF128PSIMC4N,GSM,33178,Megacard,NTAPP60070ILDUP,Android,Unlimited International Monthly,Discover,PAST DUE
New,NTAPI6SC16RG,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP60080ILDUP,Android,Unlimited Monthly,Visa,PAST DUE
New,NTAPI6SPG16SVP4P,TF128PSIMC4N,GSM,33178,Megacard,NTAPP6U040,Android,Unlimited Monthly,Discover,PAST DUE
New,NTAPI6SPC16SV,TF256PSIMV9N,CDMA,33178,Megacard,NTAPPU0065ILD,Android,Unlimited International Monthly,Discover,PAST DUE
New,NTLGLRS988VCPFMP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP60070ILDUP,Android,Unlimited Monthly,Visa,PAST DUE
New,NTHUH1511DGSV3P5P,TF128PSIMT5N,GSM,33178,Megacard,NTAPP60080ILDUP,Android,Unlimited International Monthly,American Express,PAST DUE
New,NTHUH1511DCP-5,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U060,Android,Unlimited Monthly,Discover,PAST DUE
New,NTAPISEC16GYR,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U001ILD,Android,Unlimited $70 1.5 Point Upgrade Plan,Mastercard,PAST DUE
New,NTAPISEG16GYR4,TF128PSIMC4N,GSM,33178,Megacard,NTAPP6U040,Android,Unlimited $40,Visa,PAST DUE
New,NTZEZ828TGP5DG,TF128PSIMT5N,GSM,33178,Megacard,NTAPP6U040,Android,Unlimited $40,Visa,PAST DUE
New,NTZEZ963VCCAPLL,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U035,Android,Unlimited International Monthly,Visa,PAST DUE
New,NTLGL82VCPSP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U001ILD,Android,Unlimited $70 1.5 Point Upgrade Plan,Visa,PAST DUE
New,NTLGL62VCPFMP,TF256PSIMV9N,CDMA,33178,Megacard,NTNHPAPP6U045,Android,Unlimited $40,Visa,PAST DUE
New,NTLGL52VCPWP,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U040,Android,Unlimited International Monthly,Visa,PAST DUE
New,NTZEZ837VCPRS,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U035,Android,Unlimited International Monthly,Visa,PAST DUE
New,NTLGL64VCPRS,TF256PSIMV9N,CDMA,33178,Megacard,NTAPP6U040,Android,Unlimited International Monthly,Visa,PAST DUE
New,NTZEZ836BGP4P,TF128PSIMC4N,GSM,33178,Megacard,NTAPPU0001,Android,Unlimited International Monthly,Visa,PAST DUE
New,NTZEZ836BGP5P,TF128PSIMT5N,GSM,33178,Megacard,NTAPP60060ILDUP,Android,Unlimited $60 1 Point Upgrade Plan,Visa,PAST DUE
