isActive,ESNType,carrier,isLTE,isIphone,SIM,PIN,status,Zip,IsHD
InActive,Decimal,RSS,Yes,Yes,TF256PSIMV9ND,NTPU0065ILDS,New,33178,Yes
InActive,Decimal,RSS,Yes,Yes,TF256PSIMV9TD,NTPU0065ILDS,New,33178,Yes
InActive,Decimal,RSS,Yes,No,TF256PSIMV9ND,NTPU0065ILDS,New,33178,Yes
InActive,Decimal,RSS,Yes,No,TF256PSIMV9DD,NTPU0065ILDS,New,33178,Yes
InActive,Decimal,RSS,Yes,No,TF256PSIMV9TD,NTPU0065ILDS,New,33178,Yes
InActive,Decimal,RSS,Yes,Yes,TF256PSIMV9ND,NTPU0065ILDS,New,33178,No
InActive,Decimal,RSS,Yes,Yes,TF256PSIMV9TD,NTPU0065ILDS,New,33178,No
InActive,Decimal,RSS,Yes,No,TF256PSIMV9ND,NTPU0065ILDS,New,33178,No
InActive,Decimal,RSS,Yes,No,TF256PSIMV9DD,NTPU0065ILDS,New,33178,No
InActive,Decimal,RSS,Yes,No,TF256PSIMV9TD,NTPU0065ILDS,New,33178,No
InActive,Decimal,RSS,No,No,,NTPU0065ILDS,New,33178,No
InActive,Decimal,RSS,No,Yes,,NTPU0065ILDS,New,33178,No
