Part,Status,Zip Code,SIM,Cell Tech,Pin Type,Part for PIN,Phone Type
NTLGL95G,New,33178,TF64PSIMT5,GSM,Megacard,NTPU0001,Android
NTLGL95G,New,33178,TF64PSIMT5,GSM,Normal,NTBUY0300INDVP,Android
NTLG400GP4,New,33178,TF64SIMT5,GSM,Normal,NTBUY0300INDVP,Non-Android
NTLG400GP4,New,33178,TF64SIMT5,GSM,Megacard,NTPU0001,Non-Android
NTLGL95G,Past Due,33178,TF64PSIMT5,GSM,Megacard,NTPU0001,Android
NTLGL95G,Past Due,33178,TF64PSIMT5,GSM,Normal,NTP30750CT,Android
NTLG400GP4,Past Due,33178,TF64SIMT5,GSM,Normal,NTP30750CT,Non-Android
NTLG400GP4,Past Due,33178,TF64SIMT5,GSM,Megacard,NTPU0001,Non-Android
NT1100PD5,New,33178,TF64SIMT5,GSM,Normal,NTBUY0300INDVP,Non-Android
NT1600P4,New,33178,TF64SIMC4,GSM,Normal,NTBUY0300INDVP,Non-Android
NT2600P5,New,33178,TF64SIMT5,GSM,Normal,NTBUY0300INDVP,Non-Android
NTALA554CP,New,33178,,CDMA,Megacard,NTPU0001,Android
NTC155P,New,33178,TF64SIMC4,GSM,Normal,NTBUY0300INDVP,Non-Android
NTC261P4,New,33178,TF64SIMC4,GSM,Normal,NTBUY0300INDVP,Non-Android
NTHUM865CP,New,33178,,CDMA,Megacard,NTPU0001,Android
NTKY126CP,New,33178,,CDMA,Normal,NTBUY0300INDVP,Non-Android
NTLG0225P4,New,33178,TF64SIMC4,GSM,Normal,NTBUY0300INDVP,Non-Android
NTLG100CP,New,33178,,CDMA,Normal,NTBUY0300INDVP,Non-Android
NTLG1500P5,New,33178,TF64SIMT5,GSM,Normal,NTBUY0300INDVP,Non-Android
NTLG200CP,New,33178,,CDMA,Normal,NTBUY0300INDVP,Non-Android
NTLG220CP,New,33178,,CDMA,Normal,NTBUY0300INDVP,Non-Android
NTLG221CP,New,33178,,CDMA,Normal,NTBUY0300INDVP,Non-Android
NTALA554CP,New,33178,TF64SIMT5,GSM,Megacard,NTPU0001,Android
NTHUM865CP,New,33178,,CDMA,Megacard,NTPU0001,Android
NTLGL35GP4,New,33178,TF64PSIMC4,GSM,Megacard,NTPU0001,Android
NTLGL45CP,New,33178,,CDMA,Megacard,NTPU0001,Android
NTLGL75CP,New,33178,,CDMA,Megacard,NTPU0001,Android
NTLGL85CP,New,33178,,CDMA,Megacard,NTPU0001,Android
NTMTXT555CP,New,33178,,CDMA,Megacard,NTPU0001,Android
NTSAS720CP,New,33178,,CDMA,Megacard,NTPU0001,Android
NTSAS950CP,New,33178,,CDMA,Megacard,NTPU0001,Android
NTSAS959GP4,New,33178,TF64PSIMC4,GSM,Megacard,NTPU0001,Android
NTZEZ990GP4,New,33178,TF64PSIMC4,GSM,Megacard,NTPU0001,Android
NTZEZ990GP5,New,33178,TF64PSIMC4,GSM,Megacard,NTPU0001,Android
NTSAM828CP,New,33165,,CDMA,Megacard,NTPU0001,Android
NTALA554CP,Past Due,33178,TF64SIMT5,GSM,Megacard,NTPU0001,Android
NTHUM865CP,Past Due,33178,,CDMA,Megacard,NTPU0001,Android
NTLGL35GP4,Past Due,33178,TF64PSIMC4,GSM,Megacard,NTPU0001,Android
NTLGL45CP,Past Due,33178,,CDMA,Megacard,NTPU0001,Android
NTLGL75CP,Past Due,33178,,CDMA,Megacard,NTPU0001,Android
NTLGL85CP,Past Due,33178,,CDMA,Megacard,NTPU0001,Android
NTMTXT555CP,Past Due,33178,,CDMA,Megacard,NTPU0001,Android
NTSAS720CP,Past Due,33178,,CDMA,Megacard,NTPU0001,Android
NTSAS950CP,Past Due,33178,,CDMA,Megacard,NTPU0001,Android
NTSAS959GP4,Past Due,33178,TF64PSIMC4,GSM,Megacard,NTPU0001,Android
NTZEZ990GP4,Past Due,33178,TF64PSIMC4,GSM,Megacard,NTPU0001,Android
NTZEZ990GP5,Past Due,33178,TF64PSIMC4,GSM,Megacard,NTPU0001,Android
NTSAM828CP,Past Due,33165,,CDMA,Megacard,NTPU0001,Android
