Part Number,SIM,Zip Code,PIN,Status,Cell Tech,CardType
STZEZ558VCWHP,TF256PSIMV9N,33178,STAPP20055,New,CDMA,Visa
STAPIXC64GYPWP.2,TF256PSIMV9N,33178,STAPP20055,New,CDMA,Visa
STAPIXG64SVP4,TF128PSIMC4N,33178,STAPP20055,New,GSM,Visa
STSAG955UCSV,TF256PSIMV9N,33178,STAPP20055,New,CDMA,Visa
STSAG950UCSV,TF256PSIMV9N,33178,STAPP30035,New,CDMA,Visa
STLGL84VC,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,Visa
STSAS327VC,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA,Discover
STSAS727VC,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA,Visa
STZEZ986DG,TF128PSIMC4N,33178,STAPP30035,New,GSM,Discover
STLGL83BG,TF128PSIMT5N,33178,NTAPPMP00060ILD,New,GSM,Visa
STLGL59BG,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,Visa
STLGL63BGP5,TF128PSIMT5N,33178,NTAPPMP00045SA,New,GSM,Visa
STZEZ799VC,TF256PSIMV9RM,33178,NTAPPMP00045,New,CDMA,Visa
STLGL48VC,TF256PSIMV9N,33178,STAPP30035,New,CDMA,Discover
STLGL58VC,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,Visa
STZEZ233VCGY,TF256PSIMV9RM,33178,NTAPPMP00060ILD,New,CDMA,Visa
STLGL57BG,TF128PSIMC4N,33178,NTAPPMP00045SA,New,GSM,Visa
STLG108CP,,33178,STAPP01500,New,CDMA,Discover
STZEZ232TGGYWHP5,TF128PSIMT5RM,33178,NTAPPMP00045,New,GSM,Visa
STAPISEC16GY,TF256PSIMV9N,33178,STAPP30035,New,CDMA,Visa
GPAPISEC16GYPWP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,Visa
STAPISEG16GYP,TF128PSIMC4N,33178,STAPP20055,New,GSM,Visa
STALA571VCPWP,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA,Visa
STAPI6PC16GYP,TF256PSIMV9N,33178,NTAPPMP00045,New,CDMA,Visa
STLGL61AGP4P,TF128PSIMC4N,33178,NTAPPMP00045,New,GSM,Visa
STLG329GP4,TF128SIMC4,33178,STAPP20055,New,GSM,Visa
STLGL52VCPWP,TF256PSIMV9N,33178,STAPP30035,New,CDMA,Visa
STZEZ716BGWHP4,TF128PSIMC4RM,33178,NTAPPMP00045SA,New,GSM,Visa
STLGL52VCWHP,TF256PSIMV9N,33178,NTAPPMP00060ILD,New,CDMA,Visa
STZEZ716BGWHP5,TF128PSIMT5RM,33178,STAPP00035,New,GSM,Visa
STZEZ936C,TF256PSIMV9RM,33178,NTAPPMP00045SA,New,CDMA,Visa
STLGL22CP,,33178,NTAPPMP000451Y,New,CDMA,Visa
STMTXT830CR,,33178,NTPMP00060ILD,New,CDMA,Visa
PHST64PSIMT5DD,TF64PSIMT5DD,33178,STAPPMB00025,New,GSM,Visa
STUXU240CWHP,,33178,STNMB00015,New,CDMA,Visa
STSAS960CPWP,,33178,NTPMP00060ILD,New,CDMA,Visa
STSAS950CP,,33178,NTPMP00060ILD,New,CDMA,Visa
GPAPI4SC,,33178,STAPP30035,New,CDMA,Visa
STSAS950CP,,33178,STAPP30035,Past Due,CDMA,Visa
STNKE5GP4,TF64PSIMC4,33178,NTNMP00045,Past Due,GSM,Visa
STMTXT937CP,,33178,STAPP20055,Past Due,CDMA,Visa
STLG329GP5P,TF128SIMT5,33178,STAPP01500,New,GSM,Visa
STAVV10GP,JASPER2FF,33178,NTAPPMP00045,New,CDMA,Visa
STZEZ837VCR,TF256PSIMV9N,33178,NTAPPMP00045TR,New,CDMA,Visa
STLGL64VCR,TF256PSIMV9N,33178,NTAPPMP00045SA,New,CDMA,Visa
