Part Number,SIM,Zip Code,PIN,Status,Cell Tech
PHST64PSIMT5B,TF64PSIMT5BMB,33178,NTAPPMP00045,New,GSM
PHST128PSIMC4D,TF128PSIMC4DD,33178,STAPP30035,New,GSM
PHST64PSIMT5MB,TF64PSIMT5MB,33178,NTAPPMP00060ILD,New,GSM
PHST64PSIMC4B,TF64PSIMC4B,33178,NTAPPMP00060ILD,New,GSM
PHST128PSIMT5DD,TF128PSIMT5DD,33178,NTAPPMP00045,New,GSM
PHST64PSIMT5B,TF64PSIMT5BMB,33178,NTAPPMP00045,New,GSM
PHST128PSIMC4D,TF128PSIMC4DD,33178,STAPP20055,New,GSM
PHST64PSIMT5MB,TF64PSIMT5MB,33178,NTAPPMP00045SA,Past Due,GSM
PHST64PSIMC4B,TF64PSIMC4B,33178,STAPP30035,Past Due,GSM
PHST128PSIMT5DD,TF128PSIMT5DD,33178,STAPPMB00050,Past Due,GSM
